m_ID,m_name,m_stat,m_comment
0900,ロイド,商人,単純に売り上げが倍になるなーんてことはないんですがね。
0910,ケネス,商人,地獄の帝王をおそれるあまり自分の店をたたみました
0920,ティム,旅の商人,ここで知り合った商人にうまい在庫の処分のしかたを教えてもらって大助かりさ。
0930,アラン,神父,うおっこえー！地獄の帝王こえーよ！
0940,ボイド,神父,地獄の帝王を怖れてパニックになった人々がどれだけ来ようとも助けてあげられます。
0950,セリエ,シスター,世界一信仰心の強いこの町に住めてしあわせです。
0960,ベイリー,農夫,農夫仲間がたくさんいてオラにとってはまさに天国だべ。
0970,スタンリー,農夫,ライバルの農夫がいるからいちばんになるのはなかなかむずかしいっぺよ。
0980,バーキン,ホビットおじさん,ホビットのぼくにもいろいろと世話をやいてくれるんだ。
0990,ベッソン,兵士,がんじょう町なら地獄の帝王が攻めてきてもさけて通るだろうよ。
09A0,カニンガム,兵士,今は町のけいびを担当している。
09B0,ムアコック,王さま,もちろん我が城はここなんかとくらべ物にならんくらい立派じゃぞ。
09C0,マルゴー,貴婦人,そんなにかしこまらないでよくってよ。
09D0,ケリー,貴婦人,私と同じ浮気がバレて家を追い出された方も中にはいます。
09E0,マローネ,エルフ,私が引っ越す前に人間がへっちゃったのかしらね。
09F0,フォイゾン,天空人男,人間よりも人間以外の者の数が多いではないか……。
0A00,ファラ,天空人女,あらゆる種族について勉強できるのでうれしいです。
0A10,アイゼン,天空兵士,世界にしのびよる危機……。地獄の帝王のことをな。
0A20,エドワウ,骸骨,人間に罪ほろぼししたくてやってきたのに
0A30,スラキッド,スライム,人間の女もオレのかわいさにだまされてメロメロよ。
0A40,ギャムズ,グレートデーモン,やさしい住人にかこまれて毎日平和に暮らしているよ。
0A50,ガンツ,アーマー,今はこの町でしずかに暮らしているよ。
0A60,ライオネル,ライオンボール,大工仕事のあとに酒をかっくらってから寝転がるのはサイコー
0A70,ジュネ,ミニデーモン,たくさん人間のいるところでキャーキャー言われてみたいな。
0A80,イエット,イエティ,仲間から引っ越し祝いが届かなくてかなりさみしい。
0A90,アグリ,農夫,今やこの町は私の望み通り大農園となりましたよ。
0AA0,イザベル,貴婦人,この町は思ったとおりシゲキに満ちあふれてますわね。
0AB0,ウドンゲ,戦士,せっかくのいいカモがいなくなっちまったよ。[]
0AC0,エクル,エルフ,もっと人間の多い町に引っこそうかなあ。
0AD0,オルセン,商人,世の中にはこんなにライバルがいっぱいいるんですね。
0AE0,カイル,男,記憶を消されて別れ別れになっていた間の分まで……。
0AF0,ギーン,老婆,今じゃここでの暮らしをすっかりエンジョイしておりますのじゃ。
0B00,クレア,女,でもわたしうれしくって……うっうっう。[カイル]
0B10,ゲオルグ,老人,いずれはあのホフマンとかいう小僧をけおとして町の代表に…。
0B20,コニー,女子供,まだかくれんぼしてるんだけど[サム]
0B30,サム,男子供,今度はコニーが鬼なのに自分ばっかりかくれてズルいよぉ。
0B40,シリア,船乗り,あたし船乗りになれるのかなあ？
0B50,スーザン,シスター,今は次なる神託を待って日々を送る毎日ですわ。
0B60,ソーシャ,バニー,どう？あたしもまだまだ捨てたもんじゃないでしょ？
0B70,タナトス,骸骨,ガイコツでもいいヤツはいるってわかってもらえたみたいだ。
0B80,チョビン,バーテン,ためていたお金を酒代でつかいつぶす毎日。
0B90,ツァール,王さま,見よ。まさにこの地はわが王国の首都にふさわしい姿に生まれ変わったぞ！
0BA0,ドミンゴ,灯台タイガー,オレが人間だってバレたらまわりのヤツらに食われちまわねえかなあ？
0BB0,ナーニャ,おばさん,あんたのおかげでこの町で仕事にありつけたよ。
0BC0,ヌルスケ,船乗り,ああっ自分の方向オンチがにくい！
0BD0,ネルソン,おじさん,どうやらここは約束の地じゃなかったらしいな。
0BE0,ノロイン,ネコ（トラ）,ナゴーウナゴーウ！
0BF0,ピス,犬,ワオ～ン！バウワウワワンワン！
0C00,フボーク,あらくれ,まさに追っ手からかくれるにはうってつけの場所だよ。
0C10,ヘレナ,シスター,あの方……ホフマンさまにこの想いを告白することを。
0C20,ボンバ,ホビットおじさん,オラの必殺イモほりナンパが通じないなんて
0C30,カイル*,男
0C40,マカール,詩人,愛などただの幻想ではないかっ！
0C50,ムーサ,囚人,そういえばオイラ金持ってなかったんだよな。
0C60,メトロ,老人,わしのハイセンスさが都会に引き寄せられるのじゃろうな。
0C70,ドンガアデ,砂漠のおじさん,もはや私が新しい建物を作ることもないだろう。
0C80,モンドー,神父,結局だれも私の説教を聞いてくれないんですよ～！
0C90,ヤーム,旅の商人,クチ下手は相変わらずだけど商売のほうはなんとかなってます。
0CA0,ヨロレイヒ,老人,なんでおぬしにはわしの姿が見えるのかのう？
0CB0,リニア,シスター,あなたはあの時の不幸な人！
0CC0,ルドスト,ホビットおじさん,例の封魔のツボはわが一族の秘宝として大切に守っていくことにしたよ。
0CD0,ローエル,船乗り,オレついにホフマンに会ってきたよ。
0CE0,ン・ゴグス,ホビットおじさん,人間とは可能性に満ちた存在じゃのう。
0CF0,パノン,パノン,この町の食事ってうまいんですよね。
0D00,アンナ,女子供,あなたわたしのトシが100才以上だって言ったら信じる？
0D10,ウーハン,戦士,貧弱なボウヤなんて誰にも呼ばせないぜ！
0D20,ギンタ,あらくれ,師匠ってばすげえマッチョボディの持ち主なんだぜ。[ウーハン]
0D30,エルドラス,商人,なああんたも買うかい？オレがあつかうこの超カゲキなエッチ本をよ。
0D40,オベリア,シスター,神の教えを広めるわが使命も果たされました。
0D50,カブ,船乗り,金もたまったし自分の船を造るってのもいいかもな。
0D60,キーマン,詩人,戦死リバスト～♪　のトコは秀逸なんだがなあ……。
0D70,クルタン,大目玉,よお！最初の友達！
0D80,ケイ,踊り子,なんだナンパかと思ったわ。
0D90,コルドバ,ぐしゃ顔,ここに逃げてきてよかったのう。
0DA0,サンダー,戦士,オレこの町に逃げてきてよかったよ。
0DB0,シンプソン,神父,これで私が真の神父だと証明されたようなものですな。
0DC0,スラボン,スライム,寝てる人のカオに落書きしたくらいだからさ。
0DD0,セルシア,メイド,おめえさまのおかげで無事仕事にありつけたです。
0DE0,ソロース,商人,地獄の帝王ダンゴが売れたので引き続き伝説の勇者ダンゴを売り出したのですが……。
0DF0,ダット,商人,あれ以来がんばってついにこの町で店を持てるようになりました。
0E00,チミン,旅の商人,どこか暗い所でだれかにこの町へ来るように言われた気がするんです。
0E10,ツビット,旅の商人,ボクの店を開こうってのにそのための資金がぜんぜん足りないんですよ。
0E20,デービス,神父,どうもここの人々はあまり地獄の帝王をおそれてませんね。
0E30,トロノア,シスター,最近呪いや毒にやられちゃってる人も少ないの。
0E40,ナドラス,神父,勇者どののなさることきっと深い理由があるのですよね？
0E50,ニキータ,シスター,あふう……ねむう～。
0E60,ヌラリッヒ,農夫,ここの土さオラの理想の土に育っただあよ。
0E70,ネロ,農夫,この戦士ネロが片っ端からこらしめてやるからな。
0E80,ノックー,ホビットおじさん,近ごろは息をするのも面倒くさく思えてきたよ。
0E90,ハインツ,兵士,女って占い好きだからなあ。
0EA0,ピット,兵士,私は元ブランカ兵士のピット。略して元ブラピだ。
0EB0,ブルボン,兵士,まったく強情なお方だよ。[ミノス]
0EC0,ヘルニアス,老人,腰の調子も良くなってのう。
0ED0,ポルトー,王さま,堅苦しい玉座を逃れてきたのに兵士に見つかってしまうとは！[ブルボン]
0EE0,メダリア,貴婦人,今なら夫のメダル道楽も許せるかも……？
0EF0,ムーンシア,エルフ,わたし人間に勝ったのね！
0F00,メンドーサ,天空人男,なんだかこの町も変わった人が増えましたね。
0F10,モニカ,天空人女,なんだかここもすごい町になったわね……。
0F20,ヤデル,天空兵士,地上人の姿がさっぱり見当たらない！
0F30,ユリエル,骸骨,夜になると身体は元気になるけど心はブルーになるの。
0F40,ヨブ,スライム,この町に来たおかげでボク強くなれた気がするよ。
0F50,ヤゴール,グレートデーモン,グハハハ。ゆかいゆかい！
0F60,リグベイダ,ぐしゃ顔,ここに来て悪人ヅラのことでつらい思いはしなくなったな。
0F70,ルンメニゲ,ライオンボール,あ～っ！テメエはあの時の！
0F80,レンコン,ミニデーモン,時々ぶつけたアタマの傷が痛み出すんだ。
0F90,ロザンナ,イエティ,うお～んダイエット大成功だよゥ！
0FA0,クレア*,女,たいへんだわ。早くカイルを捜さなくちゃ！[カイル、マカール]
0FB0,Ｇ・ピサロ,グランピサロ,うふふっナンパはおことわりよ！
0FC0,ブレンダ,女,今わたしとてもハッピーなの。これも占いのおかげね。
0FD0,ブラッド,戦士,うーん人生ってすばらしい！
0FE0,サラーム,旅の商人,やっと砂漠のバザーの仲間たちに会えたんだ。
0FF0,ナディーン,踊り子,そしてみんなわたしのおどりを見るわ。
1000,ヤッキン,おじさん,この町は海も近いし魚料理がいいですなぁ！
1010,フィオナ,姫,ああ自由ってすてきね！
1020,ファーター,神父,……たたりじゃ！！
1030,ミリアム,女子供,しらないひとたくさんいておもしろいわ！
1040,アバド,詩人,新しい歌がどんどん思いつく。
1050,アベンヌ,貴婦人,美しさがサビついちゃったらどうしましょ。はぁー。
1060,ゾット,老人,時すでにおそく遺跡調査はもうムリじゃ。
1070,ナナ,メイド,この町でもみんなしてわたしに皿洗いやそうじをたのんでくるのよ！
1080,ロッパ,商人,おかげさまでゴムひもが飛ぶように売れて！
1090,シママ,灯台タイガー,やっぱ山に帰ろうかなあ。
10A0,リア,天空人女,正直でおひとよしでとってもステキなの！
10B0,エミール,男子供,君はずっと旅してるんだよね。楽しそうだなあ。
10C0,シモーヌ,シスター,……ぴちぴちギャルになりたいだなんて言い出せなくなってしまいました。
10D0,イーニィ,バニー,今のところ魔法の実験は順調に進んでるわ！
10E0,ホネーン,骸骨,へんじがな……
10F0,ニース,エルフ,あーあ。たいくつ。
1100,ネッド,男,この町はいわばぼくの夢。どんどん大きくしてみせますよ！
1110,ハニー,バニー,あたしがんばる！きゃ…ん！
1120,カレン,女,じつはわたし勇者さまの顔ぜんぜん知らないのよね。
1130,ミノス,王さま,今度おたがいに城をとりかえっこしようかと話し合っていたところじゃ！
1140,ジーダ,老人,若い衆にまじり木を切ったり家を建てたりうーむ楽しいのう！
1150,メイ,姫,うふふっにせ者のアリーナ姫って言ったほうがわかりやすいかな？
1160,ワリフト,神父,にせ姫とにせじいやを探してるんですがなかなか……。[メイ][プライ]
1170,プライ,老人,ちゃんとこの町でもブライ様の名をかたって善行にはげんでおりますよ。
1180,ハン,あらくれ,アリーナ姫のアホのような強さにはまだまだかなわん。修行あるのみだ！
1190,ラゴス,船乗り,モニカ姫より美しい人なんていないじゃないですか？
11A0,ビビアン,バニー,どこかにきっとアタシの王子さまがいるはずよっ！
11B0,サイモン,戦士,これまでの人生の中で今日が一番しあわせですよ！！はっはっは……。
11C0,ハスター,戦士,やっぱり安全な暮らしが一番さ！
11D0,プレヤ,神父,私はダメダメです。仲間がまるで見つからなくて。
11E0,ゼニー,旅の商人,今は商売のイロハから勉強しなおしてるところです。
11F0,カラック,詩人,もう歌うのやめんたんです。……つーんだ。
1200,ミース,エルフ,なによ。こんな町ちーっともおもしろくないじゃない！
1210,ゾフィー,おばさん,とりあえずひっこししたくなるまではここに住むとするよ。
1220,ワンゼ,商人,５×９＝５９！！
1230,ミッキー,メイド,おそうじおそうじランララーン♪
1240,キリエ,シスター,この町は本当にすてき……いえ病んでいます。
1250,クワット,農夫,いんやぁこの町はたがやしがいがあるなぁ！
1260,ネガント,あらくれ,ホフマンッテやつにまた負けちまったよ。とほほほ。
1270,ピナピナ,女子供,かわいいピナピナがもっとかわいくなったと思わない？
1280,コモ,神父,わたしの調べではやはり世界の破滅は７割は確実だと思います。
1290,リンドーン,兵士,やれやれ今日もなんとか生きのびた……。
12A0,グレッグ,おじさん,この町もどうも私の住むべき町ではないような
12B0,ナンシー,老婆,どいつもこいつもカボチャ並みにひどい顔でまったく頭に来るよ！
12C0,ポリー,バニー,なんかシロウトっぽくていいんだって！
12D0,ジョン,犬,バウ！バウ！バウ！アオ～ンッ！！
12E0,シロ,ネコ（トラ）,ニャーン。ゴロゴロゴロ……。
12F0,ブリジット,ネコ（トラ）,ふみぃ～ふにゃ～ん。
1300,フンバー,馬（茶）,ヒンッ！ヒヒーン！ブッヒヒーン！！
1310,フローラ,馬（茶）,ヒヒーンッ！……ブハッ！
1320,カール,牛（白黒ブチ）,ンモォ～ブモッウモッウンモォ～！！
1330,モウギュ,牛（白黒ブチ）,ブルルッ……。モモォーーーー！！
1340,グレイ,狼,アオォーーン！ワオーン！！
1350,マール,ブタ,ブヒヒヒブッブヒッ！
1360,トーサカ,にわとり,コッコッケーー！！コケッコケコケコケッ！
1370,カンカン,きつね,コーン！！コンコンコーン！
1380,ハミル,商人,おかしいなー。自分ではだいぶやせたと思うんだけどなー。
1390,カザ,商人,この町は毎日新鮮で楽しいですね。
13A0,レビロ,旅の商人,さっきまですっごくレア物のうまのふんを売ってたのに
13B0,エッコ,神父,神父エッコはこれからもどくのちりょうにはげみます。
13C0,ブッチー,神父,美しいヒゲだからこそそうそう人に見せてはならないのです！
13D0,イラ,シスター,やはり牢獄のような修道院はわたくしには耐えがたくて。
13E0,スール,シスター,どうもおっちょこちょいなのよね。
13F0,スキット,農夫,どっこにも地獄の帝王がいないっぺ。
1400,コエット,農夫,ここの土もコエットさまにはまだまだつりあわねえべ。
1410,サブロー,犬,くぅ～んくぅ～ん。
1420,シシル,ネコ（トラ）,にーふにー。
1430,リボン,ネコ（トラ）,みゃあみゃあっ。
1440,テツ,馬（茶）,バルルッヒッヒーン！
1450,カルメル,馬（茶）,……！ヒンッヒヒーン！
1460,ジェロニモ,牛（白黒ブチ）,ンン……ブモ～ォオ！
1470,シニア,牛（白黒ブチ）,……くっちゃくっちゃ。
1480,ケンケン,狼,ウォーン！ウオーンッ！！
1490,パパヤ,ブタ,ぶっぶひぃー！
14A0,アラザン,にわとり,ケッコー！ケッコー！クエッケッケッコー！！
14B0,タリア,きつね,こーん。こんこんこーん！
14C0,ジャック,兵士,だがもう安心だ。このジャックがいるかぎり町は守ってみせる！
14D0,ページ,兵士,この町のやつらみーんなオレが本物の兵士だって思いこんでるんだ。
14E0,ロナルド,兵士,商人はイマイチだし。バーテンてのもなぁー。
14F0,クラーク,兵士,はっはっは！どうした？不安そうな顔をしているなっ。
1500,キンク,王さま,だれひとりわしを王さまあつかいしてくれんのじゃ。
1510,レーデリア,貴婦人,この町はたいくつせぬがもうひとつこう……。
1520,エビータ,エルフ,……なによ。話しかけないで。
1530,エイワス,天空人男,人々の心の平和を守るのだ！
1540,シボシボ,天空人女,バレたらミンチにされちゃうわ！
1550,アスラン,天空兵士,ねーむーれーみなのー者ー♪
1560,グレアム,骸骨,カルシウムの層が厚くなっただろ！
1570,ホイックス,ホイミスライム,ふっふっふ。計画どおーり！
1580,マミタン,グレートデーモン,もうっ買いすぎちゃって重くて手がいたいわ～ん。
1590,ウェイト,ぐしゃ顔,ここの砂ブロはなかなかぐあいがいいのう。
15A0,サージ,大目玉,おおめだまめるときも目とじない……。
15B0,ヒッテモニ,ミニデーモン,ちょっとおどかしただけで人間がお菓子をよこすから食べすぎで虫歯に……
15C0,ベロリン,イエティ,うおーん！うれしいうおーん。
15D0,ダンドン,イエティ,うおーーんゴロゴロゴロ！！
