m_Lv:int,勇者:int,ライアン:int,アリーナ:int,クリフト:int,ブライ:int,トルネコ:int,マーニャ:int,ミネア:int,ピサロ:int
51,1897786,1417300,1636971,1678866,1943508,1484592,1952431,1831909,2851514
52,2012727,1502383,1747277,1790649,2074503,1584916,2084193,1953880,2966500
53,2127668,1587466,1857583,1902432,2205498,1685240,2215955,2075851,3081486
54,2242609,1672549,1967889,2014215,2336493,1785564,2347717,2197822,3196472
55,2357550,1757632,2078195,2125998,2467488,1885888,2479479,2319793,3311458
56,2472491,1842715,2188501,2237781,2598483,1986212,2611241,2441764,3426444
57,2587432,1927798,2298807,2349564,2729478,2086536,2743303,2563735,3541430
58,2702373,2012881,2409113,2461347,2860473,2186860,2874765,2685706,3656416
59,2817314,2097964,2519419,2573130,2991468,2287184,3006527,2807677,3771402
60,2932255,2183047,2629725,2684913,3122463,2387508,3138289,2929648,3886388
61,3047196,2268130,2740031,2796696,3253458,2487832,3270051,3051619,4001374
62,3162137,2353213,2850337,2908479,3384453,2588156,3401813,3173590,4116360
63,3277078,2438296,2960643,3020262,3515448,2688480,3533575,3295561,4231346
64,3392019,2523379,3070949,3132045,3646443,2788804,3665337,3417532,4346332
65,3506960,2608462,3181255,3243828,3777438,2889128,3797099,3539503,4461318
66,3621901,2693545,3291561,3355611,3908433,2989452,3928861,3661474,4576304
67,3736842,2778628,3401867,3467394,4039428,3089776,4060623,3783445,4691290
68,3851783,2863711,3512173,3579177,4170423,3190100,4192385,3905416,4806276
69,3966724,2948794,3622479,3690960,4301418,3290424,4324147,4027387,4921262
70,4081665,3033877,3732785,3802743,4432413,3390748,4455909,4149358,5036248
71,4196606,3118960,3843091,3914526,4563408,3491072,4587671,4271329,5151234
72,4311547,3204043,3953397,4026309,4694403,3591396,4719433,4393300,5266220
73,4426488,3289126,4063703,4138092,4825398,3691720,4851195,4515271,5381206
74,4541429,3374209,4174009,4249875,4956393,3792044,4982957,4637242,5496192
75,4656370,3459292,4284315,4361658,5087388,3892368,5114719,4759213,5611178
76,4771311,3544375,4394621,4473441,5218383,3992692,5246481,4881184,5726164
77,4886252,3629458,4504927,4585224,5349378,4093016,5378243,5003155,5841150
78,5001193,3714541,4615233,4697007,5480373,4193340,5510005,5125126,5956136
79,5116134,3799624,4725539,4808790,5611368,4293664,5641767,5247097,6071122
80,5231075,3884707,4835845,4920573,5742363,4393988,5773529,5369068,6186108
81,5346016,3969790,4946151,5032356,5873358,4494312,5905291,5491039,6301094
82,5460957,4054873,5056457,5144139,6004353,4594636,6037053,5613010,6416080
83,5575898,4139956,5166763,5255922,6135348,4694960,6168815,5734981,6531066
84,5690839,4225039,5277069,5367705,6266346,4795284,6300577,5856952,6646052
85,5805780,4310122,5387375,5479488,6397338,4895608,6432339,5978923,6761038
86,5920721,4395205,5497681,5591271,6528333,4995932,6564101,6100894,6876024
87,6035662,4480288,5607987,5703054,6659328,5096256,6695863,6222865,6991010
88,6150603,4565371,5718293,5814837,6790323,5196580,6827625,6344836,7105996
89,6265544,4650454,5828599,5926620,6921318,5296904,6959387,6466807,7220982
90,6380485,4735537,5938905,6038403,7052313,5397228,7091149,6588778,7335968
91,6495426,4820620,6049211,6150186,7183308,5497552,7222911,6710749,7450954
92,6610367,4905703,6159517,6261969,7314303,5597876,7354673,6832720,7565940
93,6725308,4990786,6269823,6373752,7445298,5698200,7486435,6954691,7680926
94,6840249,5075869,6380129,6485535,7576293,5798524,7618197,7076662,7795912
95,6955190,5160952,6490435,6597318,7707288,5898848,7749959,7198633,7910898
96,7070131,5246035,6600741,6709101,7838283,5999172,7881712,7320604,8025584
97,7185072,5331118,6711047,6820884,7969278,6099496,8013483,7442574,8140870
98,7300013,5416201,6821353,6932667,8100273,6199820,8145245,7564546,8255856
99,7414954,5501284,6931659,7044450,8231268,6300144,8277007,7686517,8370842
