m_ID:int,m_name,m_explain
111,かがやく息,すべてが　かがやくほどの　ふぶきをはく
112,つなみ,つなみを　ひきよせ　てきにダメージ
113,火ばしら,ひばしらをたて　てきにダメージ
114,マグマ,てきの　あしもとを　マグマのうみに
115,じわれ,じわれをおこし　てきをのみこむ
116,地ひびき,はげしく　だいちをゆらし　てきにダメージ
117,ビッグバン,すべてを　はかいするほどの　だいばくはつ
118,石つぶて,てきグループに　石のつぶてを
119,岩石おとし,岩石を　てきのあたまに　ほうりなげる
120,グランドクロス,かみのさばきを　てきにあたえる
121,マダンテ,まりょくの　すべてを　ときはなつ
122,ジゴスパーク,じごくから　いかずちを　よびよせる
123,みなごろし,てき　みかたの　くべつなく　おそいかかる
124,たいあたり,てきにむかって　たいあたり
125,すてみ,まもりをわすれ　すてみで　こうげき
126,きゅうしょ突き,ひたすら　きゅうしょ　ねらいで
127,ばくれつけん,すごいはやさで　なんかいも　こうげき
128,まじん斬り,いちかばちか　かいしんの　いちげきを
129,はやぶさ斬り,はやぶさのよう　すばやく　２かいこうげき
130,さみだれ斬り,てきにむかって　つるぎの　さみだれ
131,ムーンサルト,ジャンプして　てきを　ぜんぶ　なぎはらう
132,しっぷう突き,だれよりも　はやく　こうげき
133,もろば斬り,キケンを　かえりみず　きりかかる
134,ドラゴン斬り,ドラゴンの　うろこを　きりさく
135,ゾンビ斬り,アンデッドの　のろいを　たちきる
136,メタル斬り,メタルボディの　てきをきりさく
137,いなずま斬り,いなずまの　ちからをかりて　きりかかる
138,かえん斬り,ほのおの　ちからをかりて　きりかかる
139,しんくう斬り,たつまきの　ちからをかりて　きりかかる
140,マヒャド斬り,こおりの　ちからをかりて　きりかかる
141,とびひざげり,ジャンプして　けりをはなつ
142,まわしげり,まわしげりを　たたきこむ
143,せいけん突き,ちからをこめて　こぶしをつく
144,ともえ投げ,てきをとおくへ　ほうり投げる
145,ギガスラッシュ,すべてをこえる　きゅうきょくの　ひっさつけん
146,バシルーラ,てきをとおくへ　はじきとばす
147,しょうかん,さまよう　せいれいを　みかたにつける
148,ぐんたい呼び,おかねをつかい　ぐんたいによる　そうこうげき
149,ぼうぎょ,普通の防御。
150,ぼうぎょ２,強めの防御。
151,変身,変身を　となえた！
152,ぱふぱふ,？？？？
153,のろいの歌,のろいをかけて　しゅびりょくを　さげる
154,やすらぎの歌,歌をうたって　なかまのＨＰを　２０～かいふく
155,ステテコダンス,ヘンなおどりで　てきグループを　わらわせる
156,さざなみの歌,歌をうたって　てきグループを　ねむりにさそう
157,マッスルダンス,イヤなおどりで　てきグループに　ダメージ
158,ぬすっと斬り,てきひとりに　ダメージのあと　ものをぬすむ
159,つるぎのまい,すごいはやさで　なんかいも　こうげき
160,たたかいの歌,なかまぜんぶの　しゅびりょくを　あげる歌
161,かもめ返し,そらをとぶ　てきをきりさく
162,みねうち,なかまひとりの　こんらんや　ねむりをなおす
163,へんてこ斬り,あやしいワザで　ダメージのあと　こんらんさせる
164,ゆりかごの歌,てきグループを　ねむりにさそう　こもりうた
165,めざめの歌,めざめの歌で　ねむっている　なかまをおこす
166,まふうじの歌,歌をうたって　てきのまほうを　ふうじこめる
167,天使のうたごえ,なかまひとりを　いきかえらせる
168,あみなわ,あみでとらえて　てきひとりを　やすませる
169,ウールガード,ふぶきから　みをまもる
170,どとうのひつじ,ひつじのむれで　そうこうげき
171,ぼけ,みごとなぼけで　ダメージを　なかったことに
172,つっこみ,つっこみで　やられたことを　やりかえす
173,いっぱつギャグ,ナイスギャグで　てきグループを　わらわせる
174,くすぐりの刑,てきひとりを　くすぐって　わらわせる
175,まものならし,まものをならし　なかまに　しやすくする
176,ハリケーン,はげしい　あらしをよび　てきにダメージ
177,コーラルレイン,みずのながれで　てきぜんたいに　ダメージ
178,メイルストロム,はげしいうずを　まきおこして　てきにダメージ
179,アルテマソード,きゅうきょくをこえた　ひっさつのけん
180,めいどうふうま,じわれをおこし　てきをのみこむ
181,れんごく火炎,じごくから　ほのおをよび　ダメージ
182,げんま召喚,さまよう　せいれいを　みかたにつける
183,ノアのはこぶね,光をまとい　なにものをも　うけつけない
184,しのび笑い,ふてきな　わらいをする
185,船上ダンス,おどりにさそい　てきひとりを　やすませる
186,ひつじのダンス,ひつじのダンスを　おどる
187,ひつじかぞえ歌,ひつじをかぞえ　てきぜんたいを　ねむりにさそう
188,コミックソング,たのしい歌で　てきグループを　わらわせる
189,マトンアタック,ひつじのごとく　てきにむかって　たいあたり
190,すいめんげり,てきひとりに　ダメージのあと　ころばせる
191,かみつけ,オオカミをよび　てきひとりに　ダメージ
192,ほえろ,オオカミをよび　おおごえで　みをすくませる
193,ぶつかれ,オオカミをよび　てきにむかって　たいあたり
194,ひきさけ,オオカミをよび　てきグループに　ダメージ
195,とおぼえ,おおかみをよび　そうこうげき
196,ルーラ,ヌル。
197,リレミト,ヌル。
198,インパス,ヌル。
199,トラマナ,ヌル。
200,トヘロス,ヌル。
201,タカのめ,ヌル。
202,ねる,ヌル。
203,フローミ,ヌル。
204,とうぞくのはな,ヌル。
205,レミラーマ,ヌル。
206,なし,ヌル。
207,しのびあし,ヌル。
208,くちぶえ,ヌル。
209,なし,ヌル。
210,なし,ヌル。
211,うみどりのめ,ヌル。
212,なし,ようすを　うかがっている。
213,なし,ボーっとしている。
214,なし,どうしていいか　わからない。
215,なし,ブキミに　ほほえんでいる。
216,なし,ヘラヘラ　笑っている。
217,なし,なしを　となえた！
218,なし,ちからを　ためている！→次のターンで攻撃。
219,なし,おおきく　息をすいこんだ！→次のターンで攻撃。
220,なし,攻撃ミス。
221,キングスライム,スライムLv８専用。
222,メタルキング,メタルスライムＳ専用。
223,なし,つうこんの一撃。
224,なし,ミスまたはつうこんの一撃。
225,なし,ねむり攻撃。
226,なし,どく攻撃。
227,なし,まひ攻撃。
228,なし,こんらん攻撃。
229,なし,ぶきみな笑いを　うかべて　とびかかってきた！！
230,なし,ぷくーっと　ふくれあがって　○○○○に　のしかかった！！
231,なし,いきなり　○○○○を　わしづかみにした！！
232,なし,もっているぶきを　はげしく　ふりまわした！！
233,なし,ゆみをひきしぼり　やを　はなった！
234,なし,××××の　ジャンプこうげき！
235,なし,ウデをふりあげ　するどいツメを　ふりおろした！
236,なし,おおきく　くちをあけ　するどいキバで　かみついた！
237,なし,はげしく　斬りつけてきた！！
238,なし,○○○○にまきついた！
239,なし,しっぽを　ふりまわした！
240,なし,あたまをさげ　するどいツノを　突きだした！
241,なし,おおきな足で　ふみつけてきた！
242,なし,○○○○たちをおしつぶした！
243,なし,××××の　めにもとまらぬ　はやわざ！
244,なし,げはげは　笑いながら　××××たちを　なぎはらった！
245,ふしぎなおどり,１～２バージョン
246,ふしぎなおどり,３～６バージョン
247,ふしぎなおどり,７～１１バージョン
248,あまい息,効いているときは通常攻撃。
249,どくの息,効いているときは通常攻撃。
250,もうどくのきり,効いているときは通常攻撃。
251,やけつく息,効いているときは通常攻撃。
252,なし,にげる。
253,なし,どこからともなく　××××を　よぶ　こえがする．．．．。
254,すなけむり,効いているときは通常攻撃。
255,ぶきみな光,効いているときは通常攻撃。
256,なめまわし,効いているときは通常攻撃。
257,さそうおどり,効いているときは通常攻撃。
258,おたけび,効いているときは通常攻撃。
259,まぶしいひかり,効いているときは通常攻撃。
260,いなずま,101参照。
261,なし,はじけとぶ。
262,なし,自分と同じモンスターを呼ぶ。
263,なし,自分と同じモンスターを呼ぶ。同ターンに戦闘行動する。
264,なし,自分と同じモンスターを限界まで呼ぶ。
265,なし,ナスビナーラを呼ぶ。
266,なし,ふゆうじゅを呼ぶ。
267,なし,アイアンタートルを呼ぶ。
268,なし,ホイミスライムを呼ぶ。
269,なし,ランプのまおうを呼ぶ。
270,なし,リビングスタチューを呼ぶ。
271,なし,ベビークラウドを呼ぶ。
272,なし,ホールファントムを呼ぶ。
273,なし,まじんブドゥを呼ぶ。
274,なし,からくり兵を呼ぶ。
275,なし,おおごえでたすけを呼ぶ→同モンスターが来る。
276,なし,おおごえでたすけを呼ぶ→はなカワセミが来る。
277,なし,おおごえでたすけを呼ぶ→森の番人が来る。
278,なし,→オルゴ・デミーラ390
279,なし,→オルゴ・デミーラ389
280,なし,→神さま435
281,なし,→神さま392
282,なし,→オルゴ・デミーラ386
283,なし,→オルゴ・デミーラ387
284,なし,→オルゴ・デミーラ383
285,なし,→オルゴ・デミーラ388
286,なし,→オルゴ・デミーラ385
287,なし,ヌル？
288,なし,カっと　めを　みひらき　ムラサキのひとみで　○○○○を　にらみつけた！
289,なし,はげしく　もえさかる　炎を　投げつけてきたっ！
290,なし,いてつく　れいきを　はなった！
291,なし,ねんじると　ふたつの　たまが　○○○○の　あいだを　かけめぐった！
292,なし,とげの　かたを　いからせ　○○○○　めがけて　とっしんしたっ！
293,なし,身も　こおりつくような　おぞましい　おたけびを　あげた！
294,なし,ひとみが　あやしく　光った！
295,なし,とがったツメで　○○○○を　つかみ　じめんに　はげしく　たたきつけた！
296,なし,不明。
297,なし,不明。
298,なし,○○○○めがけて　体あたりした！
299,なし,なんと　××××の　カラがわれた！！
300,なし,××××は　ランプを投げた！
301,なし,不明。
302,なし,４回ダメージがある。
303,なし,××××は　糸をはきだした！
304,なし,○○○○から　△△ゴールドを　かすめとった！
305,なし,戦闘がいきなり終わってしまった。
306,なし,すばやく　矢をはなった！
307,なし,××××の　きょうれつな後ろげり！
308,なし,はげしく何度も　かみついた！
309,なし,○○○○に　のしかかり　すりつぶしに　かかった！
310,なし,ものを投げつけてきた！
311,マジャスティス,すべての　まほうこうかを　けしさる
312,ギガジャティス,すべての　まほうこうかを　けしさる
313,ザオラル,不明。
314,なし,なしを　つかった！　→しかし　何も～。
315,なし,なしを　つかった！　→しかし　何も～。
316,はじゃのつるぎ,ギラと同様。
317,炎のつるぎ,ベギラマと同様。
318,海なりの杖,つなみと同様。
319,らいめいの剣,ライデインと同様。
320,さざなみの剣,マホカンタと同様。
321,ゴディアスの剣,ルカナンと同様。
322,オチェアーノの剣,バイキルトと同様。
323,ようせいの剣,スカラと同様。
324,いかずちの杖,ベギラマと同様。
325,てんばつの杖,バギマと同様。
326,まふうじの杖,マホトーンと同様。
327,マグマの杖,イオと同様。
328,ふっかつの杖,ザオラルと同様。
329,まどうしの杖,メラと同様。
330,さばきの杖,バギと同様。
331,けんじゃの杖,ベホイミと同様。
332,ねむりの杖,ラリホーと同様。
333,しゅくふくの杖,ベホイミと同様。
334,炎のツメ,メラミと同様。
335,こおりのやいば,ヒャダルコと同様。
336,ちからのたて,ベホイミと同様。ただし自分にだけしか使えない。
337,風神のたて,ニフラムと同様。
338,トルナードのたて,マホキテと同様。
339,ほしのかけら,メダパニと同様。
340,いのりのゆびわ,ＭＰがいくらか回復する。
341,やくそう,仲間ひとりのＨＰを３０～回復。
342,どくけし草,解毒する。
343,せいすい,敵１匹に１０～ダメージ。
344,せかいじゅの葉,死んだ仲間を完全に生き返らせる。
345,せかいじゅのしずく,仲間のＨＰ全回復。
346,まんげつ草,マヒをなおす。
347,まほうのせいすい,仲間のＭＰを回復。
348,時の砂,戦闘開始直後まで時間が戻る。
349,けんじゃの石,仲間全員のＨＰが５０～回復。
350,ちからのたね,なかまひとりの　ちからが　あがる
351,すばやさのたね,なかまひとりの　すばやさが　あがる
352,かしこさのたね,なかまひとりの　かしこさが　あがる
353,まもりのたね,なかまひとりの　みのまもりが　あがる
354,命のきのみ,なかまひとりの　さいだいＨＰが　あがる
355,ふしぎなきのみ,なかまひとりの　さいだいＭＰが　あがる
356,うつくし草,なかまひとりの　かっこよさが　あがる
357,まだらくも糸,あみなわと同様。
358,どくがのこな,メダパニと同様。
359,ふしぎなちず,ふしぎなちずを　まるめて　○○○○を　なぐった！
360,ちいさなメダル,ちいさなメダルを　おとさないよう　しっかり　にぎりしめた！
361,アミットまんじゅう,自分のＨＰが１０～回復。
362,アミットせんべい,自分のＨＰが１０～回復。
363,なし,自分に攻撃？
364,なし,不明。
365,なし,にげだした！　しかし　まわりこまれて～。
366,たいあたり,○○○○に　たいあたりした！
367,なし,モンスターに　トッシンした！
368,なし,めちゃくちゃに　ぶきを　ふりまわした！
369,なし,りょうてに　ぶきを　もって　モンスターを　こうげきしてみた！
370,なし,ちからまかせに　××××を　つかんで　投げとばした！
371,なし,○○○○「．．．．？？？
372,なし,わけが　わからなくなって　××××に　だきついた！
373,なし,自分に攻撃。
374,なし,かなしばりに　あって　うごけない！
375,たいあたり,366参照。
376,なし,しかし　からだが　ついてゆかず　けっきょく　何も　できない！
377,なし,ぶきみに　ほえている！
378,なし,なかまをよんだ→しかし　たすけは　こなかった！
379,なし,へんてこな　おどりを　おどった！
380,なし,おびえている！
381,なし,にげだした！
382,なし,とてつもなく　おそろしいものを　よびだしてしまった！
383,なし,敵味方全員のＨＰが回復。
384,なし,くだけちる。
385,なし,ふしぎなきりが　噴き出す。
386,なし,からだに　ちからがみなぎる。
387,なし,敵味方全員眠る。
388,なし,敵味方全員のＭＰがゼロになる。
389,なし,パルプンテ　パルプンテ　パルプンテ　パルプンテ……
390,なし,おおきな　りゅうに　すがたを　かえた！
391,なし,やまのように　おおきな　まじんが～
392,なし,じかんが　ぎゃくもどりした！
393,なし,自分のＨＰが回復。
394,なし,つめたい風が　××××を　おそった！
395,なし,しかし　何も　おこらなかった！
396,なし,敵味方全員のＭＰが回復。
397,なし,あたりいちめんに　天空から　りゅうせいが　ふりそそいだ！
398,メガンテ,26参照。
399,なし,ちからつき　いきたえた！
400,なし,不明。
401,なし,不明。
402,なし,きゅうしょを　ちょくげき！　××××の　いきのねを　とめた！
403,なし,××××の　息のねを　とめた！
404,なし,歌を　うたいおわった！
405,なし,やりかえせない！
406,メガザルダンス,83参照。
407,なし,おどりつかれて　いきたえた！
408,なし,ちからつき　いきたえた！
409,たいあたり,意味不明。
410,きゅうしょづき,しかし　ねらいは　はずれてしまった！
411,ぱふぱふ,152参照。
412,なし,不明。
413,なし,意味不明。
414,なし,ヌル？
415,なし,ヌル？
416,なし,ヌル？
417,なし,ヌル？
418,なし,ヌル？
419,なし,ヌル？
420,なし,ヌル？
421,なし,ヌル？
422,メガンテのうでわ,メガンテのうでわが　あやしく光る！
423,メガザルのうでわ,メガザルのうでわが　あやしく光る！
424,なし,ちからつき　いきたえた！
425,なし,ちからつき　いきたえた！
426,ふぶきのつるぎ,ダメージ表示。
427,ほのおのつるぎ,ダメージ表示。
428,オチェアーノのけん,ダメージ表示。
429,ほのおのツメ,ダメージ表示。
430,こおりのやいば,ダメージ表示。
431,キメラのつばさ,しかし　何も　おこらなかった。
432,なし,ヌル？
433,なし,ヌル？
434,援護砲撃,＊＊＊　かいぞくたち専用。
435,風のぼうし,しかし　何も　おこらなかった。
436,とおぼえ,195参照。
437,アンチョビサンド,まものは　アンチョビサンドを　よろこんで　たべた！
438,なし,もうどくのきりと同様。
439,なし,○○○○は　なしを　はいた！
440,まもののエサ,まものに食わせると仲間確率が一時的に上がる。
441,ほねつきにく,まものに食わせると仲間確率が一時的に上がる。
442,超しもふり肉,まものに食わせると仲間確率が一時的に上がる。
443,なし,なんと　ブロブロスが　つくりだされた！
444,なし,なんと　ドゴロクが　つくりだされた！
445,えいゆうの杖,フバーハと同様。
446,七色のしずく,しずくは　キラキラと　七色に　かがやいている……。
447,ひかりゴケ,ひかりゴケは　手の甲で　かすかに　光をはなっている……。
448,奇跡の石,ホイミと同様。
449,人魚の月,混乱をなおす。
450,大地のトゥーラ,弾きこなせそうにない……。
451,チビィのかたみ,ぐんたいよびと同様。リスクなし。
452,とくべつ会員証,ちょっぴり　うれしさが　こみあげてくる……。
453,コスタール王の親書,親書は　ちょっぴり　やぶけてしまった！
454,水竜の剣,つなみと同様。
455,なし,××××は　つられておどってしまった！
456,ルーンスタッフ,スクルトと同様。
457,炎のアミュレット,メラミと同様。
458,大地のアミュレット,じわれと同様。
459,風のアミュレット,バギマに似ている。
460,水のアミュレット,ラリホーに似ている。
461,キーファのてがみ,しっかりと　にぎりしめた。
462,ラーのかがみ,（例）メルビンもどきは　もとのすがたに　もどった！
463,ミミックのいし,敵側全員の息の根を止める。
464,ぜんめつのいし,こちら側全員が死ぬ。
