m_ID:int,m_name,m_HP:int,m_MP:int,m_q:int,m_o:int,m_d:int,m_ex:int,m_gold:int,m_item
108,ほのおのせんし,73,0,48,83,60,140,50,かしこさのたね
109,ツボック,500,10,91,120,300,250,158,ちいさなメダル
110,ケムケムベス,110,10,33,70,44,95,33,いのちのきのみ
111,まほうじじい,72,12,47,68,72,123,50,まほうのせいすい
112,ドラゴンマッド,110,0,43,99,65,137,45,かしこさのたね
113,しにがみへい,85,0,52,84,61,126,25,まんげつそう
114,デッドエンペラー,130,0,58,100,89,158,65,いかずちのつえ
115,リントブルム,65,0,63,85,73,98,42,においぶくろ
116,ミニデーモン,70,8,55,79,68,130,47,おなべのふた
117,パオーム,115,0,42,105,60,155,60,ちからのたね
118,ストーンマン,120,0,33,125,110,176,65,いのちのいし
119,ダックカイト,74,5,55,85,60,145,57,キメラのつばさ
120,メッサーラ,99,9,60,107,67,170,50,いのりのゆびわ
121,メイジキメラ,99,50,57,82,67,181,65,キメラのつばさ
122,ベロゴンロード,110,0,48,95,40,180,35,かしこさのたね
123,ジェリーマン,400,30,120,95,30,550,85,ちいさなメダル
124,のろいのマスク,70,0,65,90,90,210,40,てっかめん
125,オークキング,85,20,60,110,65,235,65,けがわのマント
126,ダミー17,180,255,35,75,116,0,0,ちからのたね
127,ガボット,100,0,52,105,62,190,55,どくけしそう
128,シールドヒッポ,90,0,45,105,120,202,60,てつのたて
129,ホークマン,75,4,60,95,62,185,51,はがねのつるぎ
130,デビルダンサー,70,0,63,72,60,225,45,おどりこのふく
131,アームライオン,93,0,58,107,72,240,70,てつのツメ
132,マムー,91,0,51,105,45,213,57,すばやさのたね
133,エリミネーター,83,0,61,75,71,215,54,いしのオノ
134,バルーン,119,10,64,89,75,217,60,てんしのすず
135,デンタザウルス,93,0,49,121,115,260,65,ちからのたね
136,ガネーシャ,110,0,56,131,75,264,70,いのちのきのみ
137,ボスガルム,130,0,63,130,81,245,63,ファイトいっぱつ
138,シャドーサタン,115,9,67,110,93,252,60,ふしぎなきのみ
139,マドハンド,93,0,71,83,60,110,35,キメラのつばさ
140,ゴーレム,190,0,51,160,150,330,90,ちからのたね
141,オークLv20,950,30,70,130,121,350,300,けがわのマント
142,リザードマン,127,4,66,105,95,245,65,のこぎりがたな
143,ひくいどり,95,0,82,89,80,280,63,りりょくのつえ
144,ケンタラウス,130,5,69,120,94,270,75,まほうのせいすい
145,ブリザードマン,104,6,73,105,73,290,60,シルクハット
146,ゾンビナイト,143,0,45,115,53,301,40,ブラッドメイル
147,ネクロマンサー,132,30,75,98,115,325,90,いのりのゆびわ
148,スライムベホマズン,133,120,58,99,111,380,100,ふっかつのたま
149,じゃしんのへいたい,115,0,77,125,105,270,63,てつのむねあて
150,ビヒーモス,128,2,56,135,160,295,80,てつのたて
151,ガーゴイル,110,3,80,140,96,310,85,スネークソード
152,ソルジャーブル,143,0,78,154,110,335,90,バトルアックス
153,サターンヘルム,115,0,75,130,135,314,135,サタンヘルム
154,グレイトマムー,140,0,70,145,70,350,90,すばやさのたね
155,イズライール,135,20,69,140,121,401,110,ようせいのけん
156,サウルスロード,135,0,61,165,125,376,95,まもりのたね
157,りゅうせんし,123,0,80,160,115,380,81,はがねのつるぎ
158,シルバーデビル,140,8,77,130,110,403,100,エルフののみぐすり
159,ラムポーン,128,4,75,138,101,390,98,まもののエサ
160,ドラゴンゾンビ,200,0,48,173,55,450,55,はめつのたて
161,メガザルロック,220,5,52,105,195,402,70,いのちのいし
162,メタルキング,7,20,152,97,2047,30010,15,ちいさなメダル
163,オーガヘッド,109,25,90,103,230,390,112,ふしぎなきのみ
164,アンクルホーン,180,13,85,147,120,480,120,デビルアーマー
165,キメーラLv35,800,255,99,110,120,450,350,キメラのつばさ
166,へびておとこ,131,5,77,152,100,370,82,スネークソード
167,グレンデル,155,10,80,180,140,432,109,くさりかたびら
168,バルバロッサ,171,16,85,163,155,480,130,せかいじゅのは
169,ホークブリザード,150,14,80,150,120,445,90,かぜのぼうし
170,ブラックドラゴン,180,0,88,185,144,630,125,ちからのたね
171,バザックス,161,0,63,173,137,470,80,まもりのたね
172,ゴールデンドラゴン,210,23,125,175,130,130,1023,まじんのかなづち
173,メタルドラゴン,172,0,94,210,210,610,93,メタルキングよろい
174,あくましんかん,169,80,75,165,123,590,117,やまびこのぼうし
175,シュプリンガー,175,16,91,190,145,515,98,はがねのつるぎ
176,エビルマスター,180,36,81,154,155,400,110,デビルアーマー
177,レッドイーター,120,0,115,170,70,370,80,まんげつそう
178,ブルーイーター,140,0,115,180,70,310,74,ほのおのツメ
179,ムーンフェイス,300,20,72,138,55,490,115,ちりょくのかぶと
180,エビルスピリッツ,155,0,108,145,67,580,53,エルフののみぐすり
181,グレイトドラゴン,220,0,95,220,160,1010,158,ふっかつのたま
182,ダークシャーマン,170,20,88,160,164,640,110,まどうしのローブ
183,キラーマシン,169,0,98,185,185,700,74,やいばのよろい
184,バズズ,177,30,89,168,158,610,112,メガンテのうでわ
185,れんごくちょう,160,20,86,170,160,675,130,かぜのぼうし
186,ライオネック,250,16,97,180,170,610,124,ダークシールド
187,ガメゴンロード,178,24,63,169,260,690,140,まほうのせいすい
188,ギガンテス,310,0,77,210,110,770,110,ちからのたね
189,フレアドラゴン,125,0,87,125,115,550,95,いのちのきのみ
190,スカルドン,300,33,65,190,93,800,53,どくばり
191,マヌハーン,200,0,99,140,210,610,80,ばくだんいし
192,ドードリアン,0,0,0,0,0,0,0,なし
193,ワイトキング,250,36,87,150,142,777,5,まふうじのつえ
194,ゴルバ,150,0,103,169,135,510,63,あくまのツメ
195,ガルバ,160,16,103,179,139,570,57,あくまのツメ
196,メカバーン,350,0,99,260,300,1150,160,オリハルコンのキバ
197,ヘルバトラー,450,65,124,205,192,1370,215,じごくのサーベル
198,セルゲイナス,410,36,119,250,185,1500,300,オーガシールド
199,プクプク,62,0,50,69,40,80,30,やくそう
200,しびれくらげ,50,0,48,65,41,77,22,まんげつそう
201,たまてがい,55,0,50,80,97,110,47,まもりのたね
202,オクトリーチ,73,0,45,75,55,95,37,おどりこのふく
203,ダミー19,0,0,0,0,0,0,0,なし
204,ダミー20,0,0,0,0,0,0,0,なし
205,マーマン,68,9,51,85,72,105,45,てつのツメ
206,プチイール,60,0,38,69,49,99,29,キメラのつばさ
207,シードッグ,80,0,57,89,63,113,45,のこぎりがたな
208,ゆうれいせんちょう,85,0,56,95,73,200,100,シルクハット
209,キラーシェル,65,30,53,87,110,120,43,まもりのたね
210,ダミー21,0,0,0,0,0,0,0,なし
211,ブルーマッコイ,0,0,0,0,0,0,0,なし
212,ダミー22,0,0,0,0,0,0,0,なし
213,マザーオクト,100,0,62,84,40,125,53,まもののエサ
214,しんかいりゅう,120,0,67,110,89,210,59,いのちのきのみ
215,ネーレウス,100,50,71,110,103,230,110,かいがらぼうし
216,マーマンダイン,95,3,73,120,90,170,90,ちからのたね
217,キャプテンクック,123,40,84,130,105,350,115,ゾンビメイル
218,オーシャンキング,0,0,0,0,0,0,0,なし
219,グロンデプス,160,0,92,145,62,400,125,ようせいのけん
220,ちちおや,318,65,35,127,83,0,0,なし
221,ようせいびと,38,47,24,29,7,0,0,なし
222,てんくうびと,0,0,0,0,0,0,0,なし
223,○○○○のつま,72,35,28,25,31,0,0,なし
224,うごくせきぞう,100,0,5,33,45,85,70,まもりのたね
225,おやぶんゴースト,200,40,20,36,50,300,180,ちからのたね
226,ザイル,160,6,28,42,40,105,50,まほうのせいすい
227,ゆきのじょおう,600,90,18,50,45,650,200,キメラのつばさ
228,ブオーン,4500,255,90,300,160,9500,0,ちからのたね
229,エスターク,9000,255,85,420,96,5000,510,ちいさなメダル
230,イブール,4500,255,73,19,180,21000,1000,ちいさなメダル
231,ミルドラース,832,255,80,200,180,0,0,なし
232,ミルドラース,4500,255,75,315,230,0,0,なし
233,ミルドラース,4500,255,15,315,230,0,0,なし
234,ミルドラース,4500,255,15,315,230,0,0,なし
235,ミルドラース,12,64,0,212,15,42920,796,せいなるみずさし
