m_ID,m_name,m_HP:int,m_MP:int,m_o:int,m_d:int,m_q:int,m_ex:int,m_gold:int,m_item
03D,がいこつけんし,52,8,49,45,27,53,54,鉄のツメ
03E,イエティ,75,0,65,39,25,85,38,毛皮のコート
03F,ひとくいサーベル,19,0,39,30,17,30,46,どうのつるぎ
040,デビルプラント,37,3,39,40,15,40,34,ラックのたね
041,スペクテット,39,6,30,30,21,31,62,皮のぼうし
042,ばくだんいわ,300,1,0,0,0,150,40,命のきのみ
043,オックスベア,80,0,60,45,33,89,49,鉄のまえかけ
044,メタルスライム,4,12,20,999,50,1350,5,きんのかみかざり
045,キラーアーマー,64,5,80,75,30,120,58,はがねのよろい
046,ベホマスライム,60,65535,60,50,28,68,43,ふしぎなきのみ
047,ドラゴンバタフライ,47,3,36,20,25,38,60,キメラのつばさ
048,ミミック,190,7,120,72,70,350,48,おどりこの服
049,ミステリドール,40,65535,42,40,30,37,300,きんのかみかざり
04A,ラリホービートル,23,6,22,18,10,12,15,まほうのせいすい
04B,ドラゴンパピー,67,0,64,40,34,96,50,くさりがま
04C,しりょうのきし,80,10,82,59,40,106,47,はがねのつるぎ
04D,しりょうつかい,100,10,54,30,55,200,54,鉄のツメ
04E,ほのおのせんし,75,8,65,60,36,110,52,ホーリーランス
04F,アイスコンドル,85,0,66,40,37,104,33,ちからのたね
050,サブナック,80,8,80,55,38,125,81,どくけし草
051,サイおとこ,70,0,88,100,22,126,39,バトルアックス
052,はぐれメタル,5,65535,65,999,150,10050,10,しあわせのぼうし
053,ベンガル,100,4,73,32,36,115,62,毛皮のコート
054,テラノザース,90,10,85,75,40,116,45,せいどうのよろい
055,とさかへび,31,4,31,28,18,18,25,はねぼうし
056,マンルースター,85,0,81,80,61,108,40,キメラのつばさ
057,ベレス,125,20,90,80,57,132,70,りりょくの杖
058,デザートゴースト,55,0,45,30,25,70,68,毛皮のコート
059,アークバッファロー,90,0,95,80,39,121,72,ちからのたね
05A,マヒャドフライ,90,12,70,78,39,261,151,うまのふん
05B,ボーンナイト,180,8,110,65,40,216,82,鉄のやり
05C,グレートオーラス,120,0,112,75,40,128,54,せいぎのそろばん
05D,ドラゴニット,105,0,84,110,41,180,100,みかわしの服
05E,ハンババ,90,0,109,79,30,144,76,まんげつ草
05F,ブラッドソード,114,3,89,68,49,180,80,はがねのつるぎ
060,テラノバット,98,0,115,72,43,187,74,キメラのつばさ
061,ジャイアントバット,113,3,92,82,38,172,84,やすらぎのローブ
062,ミニデーモン,95,24,103,62,54,193,43,じゃしんのめん
063,ビビンバー,100,6,120,70,57,211,88,しゅくふくの杖
064,アームライオン,100,0,94,80,45,224,119,皮のドレス
065,カロン,110,36,83,75,50,234,91,いのりのゆびわ
066,ライノソルジャー,142,17,120,150,35,245,68,まじんのかなづち
067,フェイスボール,130,0,108,76,67,225,186,まんげつ草
068,ブリザードマン,85,11,50,40,47,286,100,ふしぎなきのみ
069,はしりとかげ,114,36,98,40,74,270,81,すばやさのたね
06A,ガオン,91,14,84,79,50,290,102,キラーピアス
06B,キングスライム,150,2,40,24,17,100,150,ふしぎなきのみ
06C,しにがみ,130,0,140,85,53,315,50,ゾンビメイル
06D,ドラゴンライダー,141,0,115,87,70,351,108,ちからのたね
06E,エレフローパー,28,0,22,16,10,14,18,おどりこの服
06F,メダパニバッタ,90,10,109,40,59,261,99,においぶくろ
070,ライバーン,120,0,134,90,82,393,116,どくばり
071,アンクルホーン,250,12,123,98,78,387,122,命のきのみ
072,オーガー,210,0,143,40,47,391,65,炎のツメ
073,レッドサイクロン,80,30,152,55,79,403,128,クロスボウ
074,じごくのもんばん,250,26,130,116,61,585,73,くさりがま
075,グリーンドラゴン,143,0,136,90,55,405,132,ドラゴンシールド
076,ブラックマージ,130,48,132,83,58,477,146,ふしぎなボレロ
077,しにがみきぞく,146,14,127,95,65,543,139,命のきのみ
078,やつざきアニマル,200,0,110,90,57,447,92,ぎんのタロット
079,よるのていおう,220,24,143,127,60,495,144,ピンクのレオタード
07A,マネマネ,153,105,104,122,120,582,316,ラーのかがみ
07B,ビースト,178,0,125,73,54,480,81,すばやさのたね
07C,スライムベホマスン,150,65535,90,25,30,384,300,どうのつるぎ
07D,ベルザブル,250,25,8,0,68,570,123,もろはのつるぎ
07E,ピットバイパー,200,0,147,80,60,563,95,まんげつ草
07F,ライノスキング,220,7,200,160,70,655,150,はがねのよろい
080,トーテムキラー,150,0,142,60,75,485,52,てっかめん
081,フレイムドック,165,0,170,90,61,515,205,命のきのみ
082,フェアリードラゴン,123,5,127,145,110,615,390,ふしぎなきのみ
083,スモールグール,134,0,155,35,66,448,63,ゾンビメイル
084,だいまどう,132,65535,162,160,220,1232,112,ひかりのドレス
085,ブルデビル,250,24,178,132,88,670,205,ドラゴンメイル
086,バアラック,140,0,162,130,70,573,172,いのりのゆびわ
087,レッドドラゴン,167,28,183,90,78,603,215,ラックのたね
088,てっきゅうまじん,124,1,220,90,55,1094,53,まじんのよろい
089,ビッグスロース,250,8,135,40,37,589,99,ほほえみの杖
08A,デビルプリンス,200,38,172,95,70,684,226,まふうじの杖
08B,ガーディアン,300,39,175,90,75,740,169,ドラゴンキラー
08C,メタルキング,7,65535,140,999,165,30010,20,はぐれメタルヘルム
08D,ライバーンロード,400,0,195,90,67,786,254,すばやさのたね
08E,デーモンスピリット,180,28,135,170,80,586,247,みかわしの服
08F,ギガデーモン,2300,8,230,40,5,4100,250,こんぼう
090,アンドレアル,450,0,193,150,60,1020,300,ドラゴンシールド
091,グレートライドン,300,0,200,170,71,1678,20,もろはのつるぎ
092,エビルプリースト,1600,65535,165,190,99,6300,0,なし
093,ヘルバトラー,3300,65535,190,180,72,5500,0,きせきのつるぎ
094,しびれくらげ,40,0,39,15,20,35,12,まんげつ草
095,マリンワーム,90,0,65,30,41,94,29,やくそう
096,ピラニアン,55,3,58,30,50,80,43,くさりがま
097,マッドルーパー,64,6,53,40,25,113,60,ひのきのぼう
098,さつじんえい,40,0,50,45,23,70,24,命のきのみ
099,とつげきうお,47,0,6,20,10,75,33,鉄かぶと
09A,じごくのざりがに,44,6,52,115,40,95,25,てっかめん
09B,たこまじん,120,0,53,12,29,120,72,クロスボウ
09C,しびれあんこう,94,6,81,42,51,155,72,まんげつ草
09D,シーライオン,150,0,98,50,30,140,80,こおりのやいば
09E,くびながりゅう,48,0,42,33,26,65,38,キラーピアス
09F,フルスネイカー,130,3,85,63,38,170,124,きんのかみかざり
0A0,シャークマンタ,72,0,72,39,39,103,48,すばやさのたね
0A1,フライングデス,105,7,115,105,60,187,70,ふしぎなきのみ
0A2,うずしおキング,100,6,54,120,42,180,84,みかわしの服
0A3,バラクーダ,120,10,88,77,47,165,69,鉄のおうぎ
0A4,エビルアングラー,39,7,39,30,25,48,30,まほうのせいすい
0A5,ダゴン,300,0,75,30,30,208,98,命のきのみ
0A6,レイギガース,98,0,110,70,62,221,100,鉄のたて
0A7,トドマン,150,0,55,25,25,98,55,キメラのつばさ
0A8,プレシオドン,380,0,125,50,30,135,57,きぬのローブ
0A9,スライム,40,0,0,30,15,3,1,やくそう
0AA,ベロリンマン,55,65535,40,60,75,0,0,なし
0AB,キングレオ,999,65535,150,120,30,0,0,なし
0AC,おにこんぼう,330,0,19,43,22,1023,137,こんぼう
0AD,たびのしょうにん,0,0,0,0,0,0,0,なし
0AE,デスピサロ,2000,0,250,250,70,0,0,なし
0AF,ミスター　ハン,70,0,45,68,20,0,0,なし
0B0,ラゴス,90,0,50,80,45,0,0,やくそう
0B1,ビビアン,90,12,39,62,68,0,0,やくそう
0B2,サイモン,90,0,58,104,15,0,0,やくそう
0B3,ピサロのてさき,250,65535,52,36,16,73,60,なし
0B4,バルザック,300,65535,52,38,22,500,0,なし
0B5,バルザック,500,65535,150,100,28,6500,0,なし
0B6,スライムベス,10,0,9,5,3,2,5,やくそう
0B7,とんがりあたま,14,0,13,13,7,7,11,どくけし草
0B8,つかいま,20,3,20,17,12,15,28,木のぼうし
0B9,いしにんぎょう,15,3,17,15,5,12,17,まほうのせいすい
0BA,しびれだんびら,30,0,40,30,16,25,18,まんげつ草
0BB,ベホイミスライム,140,30,90,80,47,162,55,命のきのみ
0BC,エスターク,2700,65535,210,140,63,15000,0,なし
0BD,しじん,0,0,0,0,0,0,0,ひのきのぼう
0BE,キングレオ,950,65535,123,80,18,5100,0,はがねのよろい
0BF,とうだいタイガー,230,9,78,73,20,2000,350,なし
0C0,うらぎりこぞう,35,0,37,30,3,450,20,なし
0C1,ピサロナイト,1200,0,175,155,77,6800,0,せいじゃくの玉
0C2,とうぞくバコタ,1000,65535,138,125,79,7400,0,すばやさのたね
0C3,ドラゴラム,0,0,130,100,55,0,0,なし
0C4,ホワイトドラゴン,0,0,250,200,0,0,0,なし
0C5,ホイミン,35,30,9,28,18,0,0,なし
0C6,オーリン,95,0,68,38,18,0,0,なし
0C7,ロレンス,58,68,28,25,18,0,0,なし
0C8,スコット,82,0,58,33,15,0,0,なし
0C9,ホフマン,96,0,58,47,26,0,0,なし
0CA,パノン,85,24,88,53,38,0,0,なし
0CB,ルーシア,156,180,95,81,80,0,0,なし
0CC,ドラン,258,0,195,160,35,0,0,なし
0CD,デスピサロ,1600,0,340,220,110,0,0,なし
0CE,デスピサロ,1600,65535,230,200,90,0,0,なし
0CF,デスピサロ,1800,0,210,200,90,0,0,なし
0D0,デスピサロ,1600,0,260,220,85,0,0,なし
0D1,デスピサロ,1700,0,290,230,80,0,0,なし
0D2,デスピサロ,2100,65535,320,230,80,0,0,なし
0D3,デスピサロ,2300,65535,290,230,85,0,0,なし
0D4,おおめだま,30,0,3,15,10,35,40,やくそう
0D5,ビッグスロース,180,8,120,90,62,1033,99,ほほえみの杖
0D6,アンクルホーン,180,0,90,98,10,550,205,命のきのみ
0D7,ソロ,100,0,0,0,0,0,0,なし
0D8,ソフィア,100,0,0,0,0,0,0,なし
0D9,ライアン,100,0,0,0,0,0,0,なし
0DA,アリーナ,100,0,0,0,0,0,0,なし
0DB,クリフト,100,0,0,0,0,0,0,なし
0DC,ブライ,100,0,0,0,0,0,0,なし
0DD,トルネコ,100,0,0,0,0,0,0,なし
0DE,ミネア,100,0,0,0,0,0,0,なし
0DF,マーニャ,100,0,0,0,0,0,0,なし
0E0,ピサロ,100,0,0,0,0,0,0,なし
0E1,パンドラボックス,900,10,240,200,131,1250,280,ピンクのレオタード
0E2,いどまねき,120,0,75,70,65,350,100,まもりのルビー
0E3,いどまじん,210,20,120,75,61,574,67,ちからのたね
0E4,ダークアーマー,200,20,132,130,78,450,92,はじゃのつるぎ
0E5,ゾンビソルジャー,350,20,125,75,70,563,72,ゾンビメイル
0E6,ブラッドハンド,185,50,125,60,112,347,50,きんのブレスレット
0E7,サンダーサタン,259,0,142,100,91,480,95,ラックのたね
0E8,ゲリュオン,352,27,165,110,102,543,102,すばやさのたね
0E9,プラチナキング,200,100,210,800,255,65000,700,メガザルのうでわ
0EA,デーモンレスラー,375,70,188,120,105,680,142,ごうけつのうでわ
0EB,じごくの番犬,300,0,175,130,123,435,95,においぶくろ
0EC,ヌーデビル,360,50,180,135,83,685,121,じゃしんのめん
0ED,ランガー,380,20,180,160,125,712,160,すばやさのたね
0EE,にじくじゃく,456,120,200,150,95,885,155,ふしぎなきのみ
0EF,オーガキング,360,0,195,135,115,750,200,まじんのよろい
0F0,ギガントドラゴン,520,50,220,130,82,935,130,命のきのみ
0F1,ネクロバルサ,440,65,203,135,102,525,142,やいばのよろい
0F2,ランプのまおう,350,0,170,105,88,710,117,ステテコパンツ
0F3,あんこくつむり,190,8,133,180,62,356,83,かしこさのたね
0F4,キルゲータ,170,0,165,140,106,415,77,デーモンスピア
0F5,フロッグキング,400,38,190,93,88,740,110,いのりのゆびわ
0F6,ギャオース,450,0,240,92,90,640,150,ちからのたね
0F7,エッグラ,2800,254,240,250,95,12000,850,ふしぎなきのみ
0F8,エッグラ,2800,254,240,250,95,12000,850,ふしぎなきのみ
0F9,チキーラ,3200,254,310,200,195,9800,560,命のきのみ
0FA,チキーラ,3200,254,310,200,116,9800,560,命のきのみ
0FB,エビルプリースト,1800,254,320,150,80,0,0,なし
0FC,エビルプリースト,2000,65535,340,150,135,0,0,なし
0FD,エビルプリースト,2000,254,380,170,116,0,0,なし
0FE,エビルプリースト,2000,254,380,170,85,0,0,なし
0FF,エビルプリースト,3800,254,400,200,110,0,0,なし
100,エビルプリースト,3800,254,400,200,110,0,0,なし
101,エビルプリースト,3300,65535,300,150,135,0,0,なし
102,メイジももんじゃ,20,3,20,31,17,0,0,なし
103,ミネア,50,47,7,14,13,0,0,なし
104,マーニャ,50,39,32,20,20,0,0,なし
105,（なし）,0,0,0,0,0,0,0,なし
106,（なし）,3072,192,0,59136,15,65024,6144,?
107,（なし）,0,127,65280,999,255,5120,32639,ぜんめつのいし
