m_type,m_name,m_floor,m_memo
C,C4UK3F,マーディラス城の王室,
C,C4UK2F,マーデイラス城の２Ｆ,王の寝室
C,C4UK1F,マーディラス城の１Ｆ,教会
C,C4ROU,マーディラス城の牢屋,
C,C41F,マーディラス城の１Ｆ,玄関
C,C4NOUT,マーディラス城,現在／外観
C,C4NWH1F,マーディラス城の１Ｆ,
C,C4NWH2F,マーディラス城の２Ｆ,
C,C4NWH3F,マーディラス城の３Ｆ,
C,C4NRE1F,マーディラス城の１Ｆ,
C,C4NRE2F,マーディラス城の２Ｆ,
C,C4NRE3F,マーディラス城の３Ｆ,
C,C4NBL1F,マーディラス城の１Ｆ,
C,C4NBL2F,マーディラス城の２Ｆ,
C,C4NBL3F,マーディラス城の３Ｆ,
C,C4NBR1F,マーディラス城の１Ｆ,
C,C4NBR2F,マーディラス城の２Ｆ,
C,C4NBR3F,マーディラス城の３Ｆ,
C,C4N1F,マーディラス城の１Ｆ,
C,C4NROU,マーディラス城の牢屋,
C,C4NUK1F,マーディラス城の１Ｆ,
C,C4NUK2F,マーディラス城の姫の寝室,
C,C4NUK3F,マーディラス城の王室,
C,C5OUT,ラグラーズ城,外観
C,C5IN1F,ラグラーズ城の１Ｆ,どこでもルーラが間違っている
C,C5IN2F,ラグラーズ城の２Ｆ,
C,C6OUT,コスタール城,城下町
C,C6IN1,コスタールの民家,平屋
C,C6IN2F1,コスタールの民家,本棚が動く
C,C6IN2F2,コスタールの民家,老婆
C,C6INBU1F,コスタールの店屋,
C,C6INBUB1,コスタールの民家,店屋の地下
C,C6INYA1F,コスタールの宿屋,
C,C6INYA2F,コスタールの宿屋,ベッド
C,C6INYAB1,コスタールの宿屋,酒
C,C6TOU2F,コスタール城の灯台,本棚
C,C6TOU3F,コスタール城の灯台,老人
C,C6TOU4F,コスタール城の灯台,聖なるほのお
C,C6INMON,コスタール城のＢ１,
C,C6KI1F,コスタール城の１Ｆ,
C,C6KI2F,コスタール城の２Ｆ,
C,C6KI3F,コスタール王の寝室,
C,C6MI1F,コスタール城の教会,
C,C6MI2F,コスタール城の教会,ベッド
C,C6NOUT,コスタールの港町,現在
C,C6NBU1F,コスタールの店屋,
C,C6NBUB1,コスタールの民家,
C,C6NIN1,コスタールの民家,男の子、女
C,C6NIN2F1,コスタールの民家,本棚
C,C6NIN2F2,コスタールの民家,金持ち
C,C6NINMON,コスタールの港町のＢ１,
C,C6NKI1F,コスタールのカジノ１Ｆ,
C,C6NKI2F,コスタールのカジノ２Ｆ,
C,C6NKI3F,コスタールのカジノ３Ｆ,
C,C6NMI1F,コスタールの教会,
C,C6NMI2F,コスタールの教会,
C,C6NTOU2F,コスタール城の灯台,チャック最終回
C,C6NTOU3F,コスタール城の灯台,学者
C,C6NTOU4F,コスタール城の灯台,炎
C,C6NYA1F,コスタールの宿屋,
C,C6NYA2F,コスタールの宿屋,
C,C6NYAB1,コスタールの宿屋,
D,D1B4KO,神殿への小部屋,旅の扉
D,D1B123,遺跡の地下洞くつ Ｂ１,石のふたから入ったところ
D,D1B34,遺跡の地下洞くつ Ｂ２,
D,D1B4B,遺跡の地下洞くつ Ｂ２,細長い通路
D,D1B4C,遺跡の地下洞くつ Ｂ２,池とツタ
D,D2TOP,プロビナ山,山頂外観
D,D2TOPBRK,プロビナ山,教会に入れない
D,D2CHB1,教会地下室,
D,D2BOTTOM,山頂への洞くつの入り口,
D,D2IN5F,プロビナ山洞くつの５Ｆ,
D,D2CHIN1F,プロビナ山の教会,
D,D2CHIN2,プロビナ山の教会,住居部
D,D2IN2F,プロビナ山洞くつの２Ｆ,
D,D2F1,プロビナ山洞くつの１Ｆ,
D,D2F2,しかし ここでは この呪文は〜,ボツフロア
D,D2F3,プロビナ山洞くつの３Ｆ,
D,D2F4,プロビナ山洞くつの４Ｆ,
D,D2F5,しかし ここでは この呪文は〜,ボツフロア
D,D2HOKO,プロビナ山のほこら,
D,D2NNTOP,プロビナ山,
D,D2NCHB1,教会地下室,
D,D2NBOTTOM,山頂への洞くつの入り口,
D,D2NIN5F,しかし ここでは この呪文は〜,ボツフロア
D,D2NCHIN1F,プロビナ山の教会,
D,D2NCHIN2,プロビナ山の教会,
D,D2NIN2F,しかし ここでは この呪文は〜,ボツフロア
D,D2NF1,プロビナ山洞くつの１Ｆ,
D,D2NF2,プロビナ山洞くつの２Ｆ,
D,D2NF3,プロビナ山洞くつの３Ｆ,
D,D2NF4,プロビナ山洞くつの４Ｆ,
D,D2NF5,プロビナ山洞くつの５Ｆ,
D,D2NHOKO,プロビナ山のほこら,
D,D3F1A,湖の洞くつの１Ｆ,洞くつ入り口
D,D3F1B,湖の洞くつの１Ｆ,水
D,D3F1BB,湖の洞くつの１Ｆ,水なし
D,D3B1F,湖の洞くつのＢ１,
D,D3B2F,湖の洞くつのＢ２,
D,D3B3F1,湖の洞くつのＢ３,石碑
D,D3B3F2,湖の洞くつのＢ３,
D,D3B3F3,湖の洞くつのＢ３,
D,D3B3F4,湖の洞くつのＢ３,ホイミスライム
D,D3B3F5,湖の洞くつのＢ３,まほうのせいすい
D,D3B4F,湖の洞くつのＢ４,
D,D3B5FA,湖の洞くつのＢ５,祭壇
D,D3B5FB,湖の洞くつのＢ５,宝箱
D,D3NF1A,湖の洞くつの１Ｆ,現在
D,D3NF1BB,湖の洞くつの１Ｆ,
D,D3NF1BB,湖の洞くつの１Ｆ,
D,D3NB1F,湖の洞くつのＢ１,
D,D3NB2F,湖の洞くつのＢ２,
D,D3NB3F1,湖の洞くつのＢ３,
D,D3NB3F2,湖の洞くつのＢ３,
D,D3NB3F3,湖の洞くつのＢ３,
D,D3NB3F4,湖の洞くつのＢ３,
D,D3NB3F5,湖の洞くつのＢ３,
D,D3NB4F,湖の洞くつのＢ４,
D,D3NB5FA,湖の洞くつのＢ５,
D,D3NB5FB,湖の洞くつのＢ５,
D,D4A,神木の根っこ,幹
D,D4B,神木の根っこ,根っこの上
D,D4C,神木の根っこの中,
D,D4C2,神木の根っこの中,
D,D4C3,神木の根っこの中,
D,D4D,神木の根っこ,根っこの上
D,D4E,井戸の底の洞くつ,
D,D4F,井戸の底の洞くつ,いどまじん
D,D4G,井戸の底の洞くつ,穴
D,D5FLOOR1,時のはざまの洞くつ,
D,D5FLOOR2,時のはざまの洞くつ,ちいさなメダル
D,D5FLOOR3,時のはざまの洞くつ,ワープ
D,D5FLOOR4,時のはざまの洞くつ,終わりより始まり
D,D5FLOOR5,時のはざまの洞くつ,大きな砂時計
D,D6B1,滝壷の洞くつのＢ１,
D,D6F1A,滝壷の洞くつの１Ｆ,最初のフロア
D,D6F1B,滝壷の洞くつの１Ｆ,
D,D6F1C,滝壷の洞くつの１Ｆ,水路
D,D6F2,滝壷の洞くつの２Ｆ,
D,D6F3,滝壷の洞くつの３Ｆ,
D,D6F4,滝壷の洞くつの４Ｆ,
D,D6F5,滝壷の洞くつの５Ｆ,
D,D6INDF,滝壷の洞くつのドワーフの家,
D,D6TAKI,滝壷の洞くつの谷間,
D,D6TOP,滝壷の洞くつの頂上,星空の結晶
D,D8INB1A,ルーメンの洞くつのＢ１,
D,D8INB1B,ルーメンの洞くつのＢ１,
D,D8INB1C,ルーメンの洞くつのＢ１,
D,D8INB1D,ルーメンの洞くつのＢ１,
D,D8INB3A,ルーメンの洞くつのＢ２,
D,D8INB3B,ルーメンの洞くつのＢ２,
D,D8INB4A,ルーメンの洞くつのＢ３,
D,D8INB4B,ルーメンの洞くつのＢ３,
D,BAOMHOME,ルーメンの洞くつのＢ３,ヘルバオム
D,BABABA,(null),ボツフロア
D,D9IN1F,西の洞くつの１Ｆ,
D,D9IN2FA,西の洞くつの２Ｆ,
D,D9IN2FB,西の洞くつの２Ｆ,細長い通路
D,D9IN3F,西の洞くつの３Ｆ,
D,D9IN4F,西の洞くつの４Ｆ,
D,D10A,アボンのトンネル,宝物庫
D,D10B,アボンのトンネル,
D,D10C,アボンのトンネル,出口
D,D11OUT,海底都市,外観
D,D11IN2,海底都市,おどる宝石
D,D11IN3,海底都市,宝箱
D,D11IN4,海底都市,
D,D11IN5,海底都市,中央の建物１Ｆ
D,D11IN6,海底都市,牢屋
D,D11IN7,海底都市,彫刻家
D,D11IN8,海底都市,ツボ老人
D,D11IN9,海底都市,
D,D11IN10,海底都市の神殿の１Ｆ,
D,D11IN11,海底都市の神殿のＢ１,
D,D11IN115,海底都市の神殿のＢ２,
D,D11IN12,海底都市の神殿の玉座の間,
D,D11IN12B,海底都市の神殿の玉座の間,爆発
D,D11ENT,海底都市,外観
D,D11NOUT,海底都市,現在／外観
D,D11NIN2,海底都市,
D,D11NIN3,海底都市,
D,D11NIN4,海底都市,
D,D11NIN5,海底都市,
D,D11NIN6,海底都市,
D,D11NIN7,海底都市,
D,D11NIN8,海底都市,
D,D11NIN9,海底都市,
D,D11N1011,海底都市の神殿,
D,D11NIN12,海底都市の神殿の玉座の間,
D,D11NIRI,渦の洞くつ,ボツフロア
D,D12F1,沼地の洞くつの１Ｆ,
D,D12B1F,沼地の洞くつのＢ１,
D,D12B2F,沼地の洞くつのＢ２,
D,D12B3F,沼地の洞くつのＢ３,
D,D12B4FA,沼地の洞くつのＢ４,石版剥き出し
D,D12B4FB,沼地の洞くつのＢ４,滝
D,D12B4FC,沼地の洞くつのＢ４,どうくつまじん
D,D12B1,しかし ここでは この呪文は〜,ボツフロア
D,D12B2,しかし ここでは この呪文は〜,ボツフロア
D,D12B3,しかし ここでは この呪文は〜,ボツフロア
D,D12B4A,しかし ここでは この呪文は〜,ボツフロア
D,D12B4B,しかし ここでは この呪文は〜,ボツフロア
D,D12B4C,しかし ここでは この呪文は〜,ボツフロア
D,D12AF1,沼地の洞くつの１Ｆ,リートルードから
D,D12AB1F,沼地の洞くつのＢ１,
D,D12AB2F,沼地の洞くつのＢ２,
D,D12AB3F,沼地の洞くつのＢ３,
D,D12AB4FA,沼地の洞くつのＢ４,
D,D12AB4FB,沼地の洞くつのＢ４,
D,D12AB4FC,沼地の洞くつのＢ４,
D,D13OUT,魔物の岩山の山頂,
D,D13OUT2,魔物の岩山,外観
D,D13F1,魔物の岩山の１Ｆ,
D,D13F4,魔物の岩山の４Ｆ,
D,D13F6,魔物の岩山の６Ｆ,
D,D13F7,魔物の岩山の７Ｆ,
D,D13F8,魔物の岩山の８Ｆ,
D,D13F9,魔物の岩山の９Ｆ,
D,D14B1F,牢ごくへ続く洞くつのＢ１,
D,D14B4B,封魔の牢ごく,フォズ
D,D14B4FA,牢ごくへ続く洞くつのＢ４,
D,D14IN1F,牢ごくへ続く洞くつの１Ｆ,
D,D14PZL,封魔の牢ごく,
D,D14B2F,牢ごくへ続く洞くつのＢ２,
D,D14B3F,牢ごくへ続く洞くつのＢ３,
D,D15POUT1,魔封じの洞くつの入り口,
D,D15OUT2,魔封じの洞くつの山頂,
D,D15PIN1F,魔封じの洞くつの１Ｆ,
D,D15PIN2A,魔封じの洞くつの２Ｆ,
D,D15PIN2B,魔封じの洞くつの２Ｆ,せまいほう
D,D15PIN3F,魔封じの洞くつの３Ｆ,
D,D15PIN4F,魔封じの洞くつの４Ｆ,
D,D15PIN5F,魔封じの洞くつの５Ｆ,
D,D15PTP1F,不思議な力で 呪文は封じ込められた！,
D,D15PTP2F,不思議な力で 呪文は封じ込められた！,石棺
D,D15NOUT1,魔封じの洞くつの入り口,
D,D15NOUT2,魔封じの洞くつの山頂,
D,D15NIN1F,魔封じの洞くつの１Ｆ,
D,D15NIN2A,魔封じの洞くつの２Ｆ,
D,D15NIN2B,魔封じの洞くつの２Ｆ,
D,D15NIN3F,魔封じの洞くつの３Ｆ,
D,D15NIN4F,魔封じの洞くつの４Ｆ,
D,D15NIN5F,魔封じの洞くつの５Ｆ,
D,D15NTP1F,不思議な力で 呪文は封じ込められた！,
D,D15NTP2F,不思議な力で 呪文は封じ込められた！,
D,D16TEST,ホビット族の洞くつの１Ｆ,
D,D16B5F,ホビット族の洞くつのＢ５,
D,D16B1F,ホビット族の洞くつのＢ１,
D,D16B3FA,ホビット族の洞くつのＢ３,墓
D,D16B3FB1,ホビット族の集落,
D,D16B3FB2,ホビット族の民家,老人
D,D16B3FB3,ホビット長老の家,
D,D16B3FB4,ホビット族の民家,
D,D16B4F,ホビット族の洞くつのＢ４,
D,D16B2F,ホビット族の洞くつのＢ２,
D,D16NTEST,ホビット族の洞くつの１Ｆ,
D,D16NB5F,ホビット族の洞くつのＢ５,
D,D16NB1F,ホビット族の洞くつのＢ１,
D,D16NB3FA,ホビット族の洞くつのＢ３,
D,D16NB3FB1,ホビット族の集落,
D,D16NB3FB2,ホビット族の民家,
D,D16NB3FB3,ホビット長老の家,
D,D16NB3FB4,ホビット族の民家,
D,D16NB4F,ホビット族の洞くつのＢ４,
D,D16NB2F,ホビット族の洞くつのＢ２,
D,D16NOU,コスタール城,
D,D16TOSYO,コスタール城の図書館,
D,D17B1FA,サンゴの洞くつのＢ１,
D,D17B1FB,サンゴの洞くつのＢ１,細長い通路
D,D17B1FC,サンゴの洞くつのＢ１,床に小さいタイル
D,D17B2FA,サンゴの洞くつのＢ２,ハス
D,D17B2FB,サンゴの洞くつのＢ２,
D,D17B3FA,サンゴの洞くつのＢ３,宝箱の間
D,D17B3FB,サンゴの洞くつのＢ３,幽霊
D,D17NB1FA,サンゴの洞くつのＢ１,現在
D,D17NB1FB,サンゴの洞くつのＢ１,
D,D17NB1FC,サンゴの洞くつのＢ１,
D,D17NB2FA,サンゴの洞くつのＢ２,
D,D17NB2FB,サンゴの洞くつのＢ２,魔物
D,D17NB3FA,サンゴの洞くつのＢ３,
D,D17NB3FB,サンゴの洞くつのＢ３,
D,D18TOP,炎の山の火口,
D,D18F1,炎の山の１Ｆ,魔物
D,D18F2,炎の山の２Ｆ,
D,D18F3,炎の山の３Ｆ,回復
D,D18F4,炎の山の４Ｆ,
D,D18F5,炎の山の５Ｆ,
D,D186F,炎の山の６Ｆ,
D,D18F1BRK,炎の山の１Ｆ,奥にいける
D,D18B1F,炎の山のＢ１,宝箱
D,D18F1B,炎の山の１Ｆ,奥の通路
D,D18B1FB,炎の山のＢ１,水たまり
D,D18B2F,炎の山のＢ２,
D,D18B3F,炎の山のＢ３,火柱
D,D18B4F,炎の山のＢ４,回復
D,D18B5F,炎の山のＢ５,
D,D18B5F2,炎の山のＢ５,扉
D,D18B5F3,炎の山のＢ５,精霊
D,D18B1FC,炎の山のＢ１,宝箱
D,D18F1C,炎の山の１Ｆ,マグマなし
D,D18F2C,炎の山の２Ｆ,マグマなし
D,D18F3C,炎の山の３Ｆ,マグマなし
D,D18F4C,炎の山の４Ｆ,マグマなし
D,D18F5C,炎の山の５Ｆ,マグマなし
D,D18TOPC,炎の山の火口,マグマなし
D,D18F1BRKC,炎の山の１Ｆ,マグマなし
D,D18NTOP,炎の山の火口,
D,D18NB1F,炎の山のＢ１,
D,D18NF1,炎の山の１Ｆ,
D,D18NF2,炎の山の２Ｆ,
D,D18NF3,炎の山の３Ｆ,
D,D18NF4,炎の山の４Ｆ,
D,D18NF5,炎の山の５Ｆ,
D,D18N6F,炎の山の６Ｆ,
D,D19B1F,神殿への地下道のＢ１,
D,D19B2F,神殿への地下道のＢ２,
D,D19B3FA,合力の間,
D,D19B3FB,神殿への地下道のＢ３,
D,D19B4F,神殿への地下道のＢ４,
D,D19B5FA,神殿への地下道のＢ５,らせん階段
D,D19B5FB,神殿への地下道のＢ５,
D,D19CLIN1,決闘場,内部廊下
D,D19CLIN2,決闘場の待合室,ネリス
D,D19COLO,決闘場,メイン
D,D20F1A,黒雲の迷路の内部,最初のフロア
D,D20F1B,黒雲の迷路の内部,
D,D20F1C,黒雲の迷路の内部,魔物の像
D,D20F1D,黒雲の迷路の内部,魔物
D,D20B1A,黒雲の迷路のＢ１,宝箱
D,D20B1B,黒雲の迷路のＢ２,広間
D,D21NO1,風の迷宮のエリア１,
D,D21NO2,風の迷宮のエリア２,
D,D21NO3,風の迷宮のエリア３,
D,D21NO4,風の迷宮のエリア４,
D,D22IN,山賊のアジト,
D,D22OUT,ふきだまりの洞くつ,
D,D23B1F,エスタード地下通路 Ｂ１,
D,D23B2F,エスタード地下通路 Ｂ２,
D,D23B3FA,エスタード地下通路 Ｂ３,ボツフロア
D,D23B3FB,エスタード地下通路 Ｂ３,プレート
D,D23B4F,エスタード地下通路 Ｂ４,じいさんからすぐ
D,D23OUT,エスタードの東の岸壁,
D,D24OUT,カラーストーン採掘所,
D,D24TSUME,採掘所の番小屋,
D,D24F1,カラーストーン採掘所の１Ｆ,
D,D24B1F,カラーストーン採掘所のＢ１,
D,D24B2F,カラーストーン採掘所のＢ２,
D,D24B3F,カラーストーン採掘所のＢ３,
D,D24B4F,カラーストーン採掘所のＢ４,
D,D24B5F,カラーストーン採掘所のＢ５,
D,D24B6F,カラーストーン採掘所のＢ６,
D,D24NOUT,カラーストーン採掘所,現在
D,D24NB6F,カラーストーン採掘所のＢ６,
D,D24N5F,カラーストーン採掘所のＢ５,
D,D24NB4F,カラーストーン採掘所のＢ４,
D,D24NB3F,カラーストーン採掘所のＢ３,
D,D24NB2F,カラーストーン採掘所のＢ２,
D,D24NB1F,カラーストーン採掘所のＢ１,
D,D24NF1,カラーストーン採掘所の１Ｆ,
D,D24NTUME,採掘所の番小屋,
D,D24NB7F,カラーストーンの採掘所のＢ７,
D,D25IN1F,山脈の洞くつの１Ｆ,
D,D25IN2F,山脈の洞くつの２Ｆ,
D,D25IN3F,山脈の洞くつの３Ｆ,
D,D25NIN1F,山脈の洞くつの１Ｆ,現在
D,D25NIN2F,山脈の洞くつの２Ｆ,
D,D25NIN3F,山脈の洞くつの３Ｆ,
D,D26B1F,発掘現場の洞くつのＢ１,
D,D26B2F,発掘現場の洞くつのＢ２,
D,D26B3F,発掘現場の洞くつのＢ３,
D,D26B4F,発掘現場の洞くつのＢ４,
D,D26B56F,発掘現場の洞くつのＢ５,
D,D26B7F,発掘現場の洞くつのＢ６,
D,D27OUT,魔空間の神殿,
D,D27B1F,魔空間の神殿のＢ１,
D,D27F1,魔空間の神殿の１Ｆ,
D,D27F2,魔空間の神殿の２Ｆ,
D,D27F3,魔空間の神殿の３Ｆ,
D,D27F4,魔空間の神殿の４Ｆ,
D,D27F5,魔空間の神殿の５Ｆ,
D,D27F6,魔空間の神殿の６Ｆ,
D,D27F7,魔空間の神殿の７Ｆ,
D,D27MAO,魔空間の神殿の玉座,
F,FIELD01,(null),ボツフロア
F,FIELD02,(null),ボツフロア
F,F1KIN1F,(null),ボツフロア
F,F1IN,(null),ボツフロア
F,FIELDA01,メモリアリーフ北の山道,ペペ中年時
F,FIELDA02,メモリアリーフ北の山道,
F,F1AKIN1F,山道の廃屋,
F,F1AIN,山道のほら穴,シスター
F,FIELDN01,修道院へ続く山道,
F,FIELDN02,修道院へ続く山道,
F,F1NKIN1F,山道の小屋,
F,F1NIN,山道のほら穴,
F,F2OUT1,小さな橋,プロビナ南西
F,F2NOUT1,小さな橋,同上
F,F3,山脈の出口,
F,F3DARK,山脈の出口,テントがはってある
F,F3IN,山脈の出口,テントの中
F,F3IN2,山脈の出口,テントの中（楽器）
F,F3N,山脈の出口,
F,F3NIN1,しかし ここでは この呪文は〜,ボツフロア
F,F3NIN2,しかし ここでは この呪文は〜,ボツフロア
F,F4OUT,ルーメン東の丘,
F,F4NOUT,ルーメン東の丘,現在
F,F5,ナイラの河辺,
F,F5SONOGO,ナイラの河辺,
F,F5N,ナイラの河辺,ボツフロア
F,F6OUT,バロックの橋,
F,F6IN1,大工のつめ所,
F,F6IDO,バロックの橋の井戸,
F,F6NOUT,バロックの橋,現在
F,F6NINFAN,ランキングファンの店,
F,F6NINHB,ハーブティーの店,
F,F6NIDO,バロックの橋の井戸,
F,F7OUT,マーディラス城への橋,
F,F7NOUT,マーディラス城への橋,現在
F,F8,ナイラの上流,
F,F8SONOGO,ナイラの上流,
F,F8N,ナイラの上流,ボツフロア
F,F9OUT,岩山へ続く道,
F,F10OUT,森の中,霧が濃い
F,F11OUT,西の岸壁,アイラ
F,F12OUT1,炎の山への道,
F,F12NOUT1,炎の山への道,現在
F,F13,ちいさなオアシス,
F,F13N,(null),大地の精霊形に地面がうねっていてキモい
F,F14OUT,海辺の草地,
F,F14NOUT,海辺の草地,現在
F,F15OUT1,海辺の草地,
F,F15OUT2,海辺の草地,過去／神殿浮上後
F,F15NOUT,海辺の草地,現在
M,M1OUT,フィッシュベル,外観
M,M1UOUT,フィッシュベル,ＤＩＳＣ２アミット祭モード
M,M1OUTDD,フィッシュベル,カモメと紙ふぶき
M,M1INA1F,フィッシュベルの民家,
M,M1INAB1,フィッシュベルの民家,倉庫
M,M1INCH,フィッシュベルの教会,
M,M1INDO,フィッシュベルのよろず屋,
M,M1INKN1F,アミットさんの屋敷,
M,M1INKN2F,アミットさんの屋敷,
M,M1INMY1F,○○○○の家,
M,M1INMY2F,○○○○の部屋,
M,AMITIN1,アミット号の船室,
M,AMITIN2,アミット号の船室,コック長
M,M1D1FA,岬の洞くつ,
M,M1D1FB,岬の洞くつ,小舟
M,M1D1F,岬の洞くつのＢ１,
M,M2OUT,グリンフレーク,早いほう
M,M2OUTD,グリンフレーク,夜
M,M2INBU,グリンフレークの武器屋,
M,M2INYA1F,グリンフレークの宿屋,
M,M2INYAF2,グリンフレークの宿屋,
M,M2INYAB1,グリンフレークの酒場,
M,M2INDOF1,グリンフレークの道具屋,
M,M2INDOF2,グリンフレークの民家,
M,M2IN1F1,グリンフレークの民家,おばさん
M,M2IN1F2,グリンフレークの民家,
M,M2IN5,グリンフレークの民家,
M,M2IN6F1,ボルックの館,
M,M2IN6F2,ボルックの館,
M,M2IN6F3,ボルックの館,
M,M2INNIF1,庭師の家,
M,M2INN1B1,庭師の家の地下,
M,M2IDO,グリンフレークの井戸,庭師の家の隣り
M,M2IDO2,グリンフレークの井戸,街の東
M,M2AOUT,グリンフレーク,32年後
M,M2AINBU,グリンフレークの武器屋,
M,M2AINYA1F,グリンフレークの宿屋,
M,M2AINYAF2,グリンフレークの宿屋,
M,M2AINYAB1,グリンフレークの酒場,
M,M2AINDOF1,グリンフレークの道具屋,
M,M2AINDOF2,グリンフレークの民家,
M,M2AIN1F1,グリンフレークの民家,
M,M2AIN1F2,グリンフレークの民家,
M,M2AIN5,グリンフレークの民家,イワン
M,M2AIN6F1,カサドールの館,
M,M2AIN6F2,カサドールの館,
M,M2AIN6F3,カサドールの館,
M,M2AINNIF1,庭師の家,
M,M2AINN1B1,庭師の家地下,
M,M2AINCH,グリンフレークの教会,
M,M2AIDO,グリンフレークの井戸,庭師の家の隣り
M,M2AIDO2,グリンフレークの井戸,街の東
M,M2NOUT,(null),ボツ。グリンフレーク（現）
M,M2INCH,しかし ここでは この呪文は〜,ボツ。グリンフレーク教会（現）
M,M3OUT,プロビナ,外観
M,M3IN01,プロビナの武器屋,
M,M3IN02,プロビナの長老の家,
M,M3IN03,プロビナの宿屋,
M,M3IN04,プロビナの民家,
M,M3IN05,プロビナの民家,ネコ
M,M3IN06F1,プロビナの防具屋,
M,M3IN6F1B,プロビナの防具屋,散らかっている
M,M3IN06F2,プロビナの防具屋,２Ｆ
M,M3IDO,プロビナの井戸,
M,M3NOUT,プロビナ,
M,M3NIN01,プロビナの武器屋,
M,M3NIN02,プロビナ長老の家,
M,M3NIN03,プロビナの宿屋,
M,M3NIN04,プロビナの民家,
M,M3NIN05,プロビナの民家,
M,M3NIN06F1,プロビナの防具屋,
M,M3NIN06F2,プロビナの防具屋,
M,M3NIDO,プロビナの井戸,
