m_ID:int,m_name,m_mera:int,m_gira:int,m_io:int,m_hyado:int,m_bagi:int,m_dein:int,m_zaki:int,m_megante:int,m_nifuramu:int,m_rariho:int,m_mahoton,m_manusa:int,m_medapani:int,m_mahotora:int,m_rukani:int,m_psn:int,m_rest:int
86,ホースデビル,1,2,2,1,0,0,2,0,2,2,1,2,2,2,1,1,2
87,ゲマ,1,1,1,3,3,1,3,3,3,3,3,3,3,0,3,3,3
88,ラマダ,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,3,3
89,キラーパンサー,0,0,0,0,0,0,1,0,2,2,3,2,2,3,1,2,1
90,カンダタこぶん,1,1,1,1,1,1,3,3,3,3,0,3,1,0,1,3,1
91,グレゴール,1,1,1,1,3,0,1,0,1,1,0,1,1,3,1,0,0
92,メタルハンター,1,1,1,1,0,0,1,0,1,1,3,0,0,3,0,3,0
93,ミミック,2,2,2,2,1,0,2,0,2,2,3,1,3,0,1,2,1
94,キメラ,0,0,1,1,1,0,1,0,1,2,0,1,1,2,2,2,2
95,へびこうもり,0,0,0,0,0,0,1,0,1,1,3,1,1,3,0,2,1
96,ベロゴン,0,0,0,0,3,1,0,0,0,1,3,0,0,3,1,0,0
97,ダークマンモス,0,0,0,3,2,2,2,0,2,1,3,2,2,3,0,2,2
98,ばくだんいわ,2,2,2,1,0,0,3,0,0,2,3,1,3,2,2,2,2
99,ランスアーミー,0,1,1,0,0,0,1,0,2,1,3,2,1,3,0,0,1
100,まものつかい,1,1,1,1,1,1,1,0,1,1,3,1,1,3,0,2,1
101,マドルーパー,0,0,0,0,1,0,2,0,2,2,2,2,1,3,0,2,1
102,おどるほうせき,2,3,3,3,2,2,3,0,3,3,1,3,3,3,1,2,3
103,ベホマスライム,0,1,1,1,0,0,1,0,1,1,3,1,1,1,0,3,1
104,ガスダンゴ,0,0,0,0,0,0,1,0,1,2,3,1,0,3,0,2,1
105,オーク,0,0,1,2,0,1,1,0,2,1,3,2,2,3,0,2,1
106,スライム,0,0,0,0,0,0,1,0,1,1,3,0,0,3,0,0,0
107,キングスライム,1,2,2,1,0,0,2,0,1,2,2,2,2,1,1,3,2
108,ほのおのせんし,2,2,2,0,0,0,2,0,1,2,3,1,2,3,1,2,2
109,ツボック,2,2,3,3,2,2,2,0,2,3,3,1,2,2,0,3,2
110,ケムケムベス,0,0,0,2,0,0,1,0,1,1,0,1,0,2,0,0,0
111,まほうじじい,0,1,1,1,0,0,2,0,1,2,1,1,2,2,0,1,1
112,ドラゴンマッド,0,0,0,1,0,0,2,0,2,2,3,2,2,3,0,1,2
113,しにがみへい,0,1,1,2,1,0,2,0,1,2,3,2,1,3,1,3,1
114,デッドエンペラー,0,1,1,2,1,0,3,0,2,1,3,1,2,3,1,3,2
115,リントブルム,0,0,0,0,1,1,1,0,1,1,3,1,1,3,0,3,2
116,ミニデーモン,1,1,1,2,2,1,2,0,1,1,2,2,2,2,1,2,3
117,パオーム,0,0,1,2,2,0,1,0,2,1,3,1,1,3,0,1,2
118,ストーンマン,0,0,0,1,1,0,2,0,2,2,3,3,1,3,0,2,3
119,ダックカイト,0,1,0,1,0,1,1,0,1,2,1,2,1,1,0,1,1
120,メッサーラ,1,1,2,2,2,1,3,0,2,2,1,2,2,2,1,2,3
121,メイジキメラ,0,2,1,2,1,0,3,0,2,1,2,1,2,2,1,2,2
122,ベロゴンロード,0,0,0,0,2,1,1,0,1,1,3,2,1,3,0,1,1
123,ジェリーマン,0,0,1,1,0,1,2,0,1,2,2,1,1,3,1,2,2
124,のろいのマスク,2,2,2,3,2,1,2,0,1,2,3,1,2,3,0,3,0
125,オークキング,0,1,2,1,0,1,3,0,2,1,0,2,2,2,1,2,3
126,ダミー１７,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
127,ガボット,1,1,1,0,0,0,1,0,1,1,3,1,0,3,1,2,1
128,シールドヒッポ,1,2,2,2,2,1,2,0,2,2,3,1,1,3,0,1,1
129,ホークマン,0,1,1,0,1,0,2,0,2,3,1,1,2,2,1,2,1
130,デビルダンサー,0,1,1,0,0,0,2,0,2,1,3,1,2,3,1,2,1
131,アームライオン,2,1,1,2,0,0,3,0,2,2,3,2,2,3,1,2,3
132,マムー,0,1,1,2,0,0,2,0,2,2,3,1,1,3,0,3,1
133,エリミネーター,0,2,2,2,1,1,3,0,3,3,3,2,1,3,0,2,1
134,バルーン,1,1,1,1,0,0,2,0,2,2,2,1,1,2,0,1,2
135,デンタザウルス,1,2,2,2,1,1,2,0,2,2,3,1,2,3,1,2,1
136,ガネーシャ,0,1,1,2,2,1,3,1,3,3,1,2,0,3,0,2,2
137,ボスガルム,0,1,1,0,0,0,2,0,1,2,3,1,1,3,0,1,2
138,シャドーサタン,1,2,2,3,1,1,3,0,2,2,1,2,2,2,0,2,3
139,マドハンド,0,0,0,0,0,0,2,0,2,1,3,1,1,3,0,1,1
140,ゴーレム,0,1,1,1,1,0,2,0,2,2,3,1,1,3,0,3,2
141,オークLv２０,0,0,1,2,0,0,3,3,3,2,2,3,3,3,1,3,3
142,リザードマン,0,1,1,1,1,0,2,0,2,3,0,2,2,2,1,1,2
143,ひくいどり,3,2,2,0,1,0,2,0,1,1,3,1,1,3,0,2,2
144,ケンタラウス,0,0,0,0,1,1,1,0,1,2,0,1,1,1,0,2,1
145,ブリザードマン,0,0,0,3,1,0,2,1,1,2,0,1,1,3,0,2,1
146,ゾンビナイト,0,0,1,2,0,0,3,0,0,3,3,1,2,3,0,3,3
147,ネクロマンサー,1,1,1,1,0,0,2,1,2,1,2,1,2,2,1,2,2
148,スライムベホマズン,0,0,0,0,0,0,2,0,1,3,2,0,0,1,0,3,2
149,じゃしんのへいたい,0,0,1,1,0,0,1,0,1,2,3,1,1,3,0,0,0
150,ビヒーモス,2,2,2,2,2,2,2,0,1,1,0,1,1,2,0,1,1
151,ガーゴイル,0,0,1,1,0,1,2,0,1,3,1,1,1,3,0,1,2
152,ソルジャーブル,0,1,1,2,2,1,3,0,1,2,3,1,1,3,0,2,2
153,サターンヘルム,1,2,2,2,3,3,3,1,1,3,3,1,1,3,0,1,3
154,グレイトマムー,0,1,1,2,2,0,2,0,1,1,3,2,2,3,0,1,2
155,イズライール,0,2,2,0,1,1,2,1,3,3,1,2,3,2,1,2,2
156,サウルスロード,1,1,1,2,1,1,3,0,1,2,3,2,2,3,1,3,3
157,りゅうせんし,0,1,0,1,0,1,2,1,3,3,3,1,1,3,1,2,2
158,シルバーデビル,1,2,1,0,1,0,3,0,3,3,2,1,2,0,1,2,2
159,ラムポーン,1,1,1,1,1,0,2,0,2,2,0,1,1,3,0,1,1
160,ドラゴンゾンビ,0,0,0,2,2,2,3,0,1,3,3,2,2,3,0,1,1
161,メガザルロック,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,3,3
162,メタルキング,3,3,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3
163,オーガヘッド,0,0,1,1,1,1,1,0,1,1,0,1,1,2,1,2,0
164,アンクルホーン,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,3
165,キメーラLv３５,2,2,2,2,0,0,3,3,3,3,3,1,3,3,2,3,3
166,へびておとこ,2,2,0,0,0,0,2,0,1,2,1,1,2,1,2,0,0
167,グレンデル,1,1,1,1,2,1,2,0,2,2,0,1,2,3,0,0,1
168,バルバロッサ,1,1,0,0,0,0,3,0,3,2,2,1,1,2,1,1,1
169,ホークブリザード,0,0,1,3,2,2,2,0,1,3,1,1,2,1,1,1,2
170,ブラックドラゴン,3,3,2,1,1,1,3,0,3,3,3,2,2,3,1,1,3
171,バザックス,1,2,1,2,2,1,1,0,1,2,3,1,2,3,0,1,1
172,ゴールデンゴーレム,1,1,1,1,2,1,3,2,0,1,0,2,3,0,1,2,3
173,メタルドラゴン,2,2,1,2,3,2,3,0,3,3,3,3,3,3,1,2,3
174,あくましんかん,1,1,1,2,2,1,2,0,2,2,2,1,1,2,0,1,1
175,シュプリンガー,0,1,0,0,1,1,2,0,1,2,0,2,2,3,0,1,1
176,エビルマスター,0,1,1,0,0,0,1,0,1,2,1,1,1,2,0,2,0
177,レッドイーター,2,2,2,0,0,0,1,0,0,1,3,1,0,3,0,1,0
178,ブルーイーター,0,0,0,3,3,2,1,0,0,3,3,1,1,3,0,1,0
179,ムーンフェイス,0,0,0,0,0,1,3,0,0,1,1,1,1,3,0,1,1
180,エビルスピリッツ,2,2,2,2,2,1,3,0,1,3,3,1,3,3,1,1,1
181,グレイトドラゴン,1,3,1,3,3,2,3,1,3,3,3,2,3,3,0,3,3
182,ダークシャーマン,1,2,3,1,2,3,2,0,0,2,2,1,3,1,2,1,1
183,キラーマシン,1,1,3,3,3,3,3,0,1,3,3,2,2,3,0,3,3
184,バズズ,1,1,1,3,0,0,2,0,1,2,1,0,1,1,0,2,1
185,れんごくちょう,3,3,0,0,2,2,2,0,1,1,1,1,2,3,0,1,2
186,ライオネック,2,2,2,3,3,0,2,0,1,2,2,2,2,2,2,2,3
187,ガメゴンロード,2,2,1,1,3,1,2,0,0,1,1,1,2,1,0,2,1
188,ギガンテス,0,0,0,0,1,0,3,0,1,2,3,2,1,3,0,1,2
189,フレアドラゴン,3,3,3,0,0,2,1,0,1,1,3,0,1,3,0,2,2
190,スカルドン,1,1,1,3,2,1,3,0,1,2,2,2,1,3,2,3,2
191,マヌハーン,1,1,1,3,3,1,2,1,0,1,3,1,3,3,2,2,2
192,ドードリアン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,ワイトキング,1,1,1,3,3,0,3,0,1,3,2,1,3,1,3,3,2
194,ゴルバ,2,2,2,0,0,0,2,0,1,2,3,2,2,3,1,1,1
195,ガルバ,0,0,0,3,3,2,2,0,1,2,1,2,2,0,1,1,1
196,メカバーン,1,3,3,3,3,1,3,1,3,3,3,3,2,3,1,3,2
197,ヘルバトラー,1,2,3,1,1,0,3,1,3,3,2,2,3,2,2,3,3
198,セルゲイナス,3,1,1,2,2,2,3,1,3,2,2,2,3,1,0,3,2
199,プクプク,0,0,0,1,1,0,1,0,1,1,3,0,1,3,0,0,0
200,しびれくらげ,0,0,0,1,0,0,1,0,1,1,3,1,1,3,1,0,0
201,たまてがい,2,2,2,3,3,1,2,0,1,0,3,1,2,3,0,0,1
202,オクトリーチ,0,0,0,0,0,0,2,0,2,2,3,1,2,3,2,0,2
203,ダミー１９,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,ダミー２０,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,マーマン,1,1,1,1,0,0,2,0,1,2,0,2,1,2,0,1,1
206,プチイール,0,0,0,1,0,0,1,0,1,1,3,1,2,3,1,1,1
207,シードッグ,0,0,0,2,2,2,2,0,2,2,3,2,0,3,0,1,1
208,ゆうれいせんちょう,1,1,1,3,3,2,3,0,3,3,3,2,3,3,0,1,1
209,キラーシェル,2,2,2,3,3,1,2,0,2,1,1,1,1,1,0,2,1
210,ダミー２１,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,ブルーマッコイ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,ダミー２２,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,マザーオクト,0,0,0,1,0,0,1,0,1,1,3,1,2,3,0,3,0
214,しんかいりゅう,1,1,1,2,2,2,2,0,2,2,3,2,1,3,0,2,2
215,ネーレウス,2,2,1,2,0,0,2,0,3,1,1,1,3,1,0,2,3
216,マーマンダイン,0,1,0,2,0,0,2,0,2,1,1,1,1,3,0,1,1
217,キャプテンクック,1,1,1,3,2,2,3,0,3,3,1,2,3,2,0,3,2
218,オーシャンキング,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,グロンデプス,1,1,1,1,1,1,3,0,3,3,3,1,3,3,0,2,2
220,ちちおや,1,1,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3
221,ようせいびと,1,1,1,2,2,1,3,3,3,2,2,2,3,3,1,3,3
222,てんくうびと,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,！のつま,1,1,1,1,1,1,3,3,3,2,2,0,3,3,3,3,3
224,うごくせきぞう,0,1,0,0,0,0,3,3,3,3,3,1,3,3,0,3,3
225,おやぶんゴースト,0,0,0,0,0,0,3,3,3,3,3,0,3,3,0,3,3
226,ザイル,0,0,0,2,0,0,3,3,3,3,0,2,3,3,1,3,3
227,ゆきのじょおう,0,0,0,3,0,0,3,3,3,3,1,2,3,3,1,3,3
228,ブオーン,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0,3,3
229,エスターク,0,0,0,1,2,3,3,3,3,2,2,3,3,3,3,3,2
230,イブール,1,1,1,1,1,1,3,3,3,3,3,3,3,0,3,3,3
231,ミルドラース,1,1,1,3,3,0,3,3,3,3,3,3,3,3,0,3,3
232,ミルドラース,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,3,3
233,ミルドラース,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,3,3
234,ミルドラース,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,3,3
