m_aiueoID:int,m_kindID:int,m_name,m_type,m_comment,m_usage
278,33,はなカワセミの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
91,34,キメラの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
417,35,ホイミスライムの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
509,36,リザードマンの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
273,37,ばくだん岩の心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
510,38,リップスの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
133,39,サンダーラットの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
476,40,ミミックの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
261,41,バーサーカーの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
401,42,ブタあくまの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
9,43,アンドレアルの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
256,44,呪いのランプの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
93,45,ギャオースの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
416,46,ヘルバトラーの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
122,47,コスモファントム心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
238,48,ドラゴスライム心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
404,49,フライングデビル心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
179,50,ソードドラゴンの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
138,51,死神きぞくの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
413,52,プロトキラーの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
118,53,ゴーレムの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
13,54,いどまじんの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
181,55,ダークビショップ心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
438,56,まじんブドゥの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
516,57,ローズバトラーの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
80,58,ギガミュータント心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
405,59,プラチナキングの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
29,60,エビルエスターク心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
250,61,にじくじゃくの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
214,62,デスマシーンの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
193,63,ダンビラムーチョ心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
110,64,ゲリュオンの心,だいじなもの,ひつようなとき つかおう,モンスターの きもちになれる さとりのオーラ
24,65,うまのふん,どうぐ,なんかいでも つかえる,？？？
507,66,ラーのかがみ,だいじなもの,ひつようなとき つかおう,しんじつを うつしだす かがみ
131,67,さばくのお守り,だいじなもの,ひつようなとき つかおう,さばくで もらった お守り
124,68,古代の化石,だいじなもの,ひつようなとき つかおう,きょだいな いきものの化石
212,69,ティラノスのほね,だいじなもの,ひつようなとき つかおう,きょだいな いきもののほね
42,70,お金と手紙,だいじなもの,ひつようなとき つかおう,お金と手紙の はいったふくろ
501,71,闇のルビー,だいじなもの,ひつようなとき つかおう,じゃあくな 光をはなつ ルビー
237,72,時計塔のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
500,73,やみの塔のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
114,74,皇太后の書状,だいじなもの,ひつようなとき つかおう,皇太后の かいた 手紙
419,75,星空の結晶,だいじなもの,ひつようなとき つかおう,星の光が あつまった ほうせき
184,76,大神官の書状,だいじなもの,ひつようなとき つかおう,大神官の かいた 手紙
224,77,天使の涙,だいじなもの,ひつようなとき つかおう,？？？
152,78,神木の朝つゆ,だいじなもの,ひつようなとき つかおう,せかいじゅから とれた つゆ
482,79,女神の絵,だいじなもの,ひつようなとき つかおう,女神のすがたが かかれた絵
151,80,神父のカギ,だいじなもの,ひつようなとき つかおう,神父さまの もっていた 小さなカギだ
481,81,女神像の上半身,だいじなもの,ひつようなとき つかおう,こわれた 女神像のかけら
480,82,女神像の下半身,だいじなもの,ひつようなとき つかおう,こわれた 女神像のかけら
34,83,王家の古文書,だいじなもの,ひつようなとき つかおう,なぞのもじが かかれた しょもつ
422,84,ホットストーン,だいじなもの,ひつようなとき つかおう,ほんのりと あたたかい 石のたま
8,85,アンチョビサンド,だいじなもの,ひつようなとき つかおう,マーレの つくった サンドイッチ
6,86,アミットまんじゅう,だいじなもの,ひつようなとき つかおう,たべると ＨＰをかいふく
5,87,アミットせんべい,だいじなもの,ひつようなとき つかおう,たべると ＨＰをかいふく
119,88,小魚のつくだに,だいじなもの,ひつようなとき つかおう,マーレの つくった つくだに
148,89,しんじゅ玉,だいじなもの,ひつようなとき つかおう,？？？
154,90,すごい聖水,だいじなもの,ひつようなとき つかおう,なぞのえきたい
155,91,すごい聖水のビン,だいじなもの,ひつようなとき つかおう,からっぽのビン
279,92,花のタネ,だいじなもの,ひつようなとき つかおう,？？？
472,93,緑色の宝玉,だいじなもの,ひつようなとき つかおう,ハンクの びょうきを なおせる？
89,94,木の人形,どうぐ,ひつようなとき つかおう,マチルダの おもいでの しなもの
281,95,パミラのひやく,だいじなもの,ひつようなとき つかおう,うらないしの つくった くすり
170,96,聖なる種火,だいじなもの,ひつようなとき つかおう,神から さずかった炎
466,97,まんまるボタン,だいじなもの,ひつようなとき つかおう,ちいさなボタン
71,98,からくりパーツ,だいじなもの,ひつようなとき つかおう,からくりへいの ぶひん
478,99,むらさきの小ビン,だいじなもの,ひつようなとき つかおう,なぞのこなの はいったビン
105,100,グレイプのグラス,だいじなもの,ひつようなとき つかおう,グレイプの そそがれた グラス
79,101,キーファのてがみ,だいじなもの,ひつようなとき つかおう,キーファの かいた 手紙
82,102,奇跡の石,だいじなもの,ひつようなとき つかおう,なかまひとりの ＨＰをかいふく
183,103,ダーマのカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
178,104,倉庫のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
107,105,黒いカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
32,106,エルフのみずさし,だいじなもの,ひつようなとき つかおう,みずをくむ ためのもの
31,107,エミリアの手紙,だいじなもの,ひつようなとき つかおう,エミリアが クリーニに あてた 手紙
198,108,チカラじまん賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
199,109,チカラじまん賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
200,110,チカラじまん賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
201,111,チカラじまん賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
202,112,チカラじまん賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
55,113,かしこさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
56,114,かしこさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
57,115,かしこさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
58,116,かしこさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
59,117,かしこさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
64,118,カッコよさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
65,119,カッコよさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
66,120,カッコよさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
67,121,カッコよさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
68,122,カッコよさ賞,だいじなもの,ひつようなとき つかおう,ランキングで にゅうしょう した あかし
511,123,竜のひとみ,だいじなもの,ひつようなとき つかおう,竜の目を かたどった ほうせき
515,124,ローズの手紙,だいじなもの,ひつようなとき つかおう,ローズの かいた 手紙
447,125,魔法のじゅうたん,だいじなもの,ひつようなとき つかおう,ひくいところを とんでいける？
446,126,魔法のじゅうたん,だいじなもの,ひつようなとき つかおう,ひくいところを とんでいける
483,127,女神のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
187,128,大地のトゥーラ,だいじなもの,ひつようなとき つかおう,神を よみがえらせる きょくをひける
69,129,神の石,だいじなもの,ひつようなとき つかおう,そらをとぶ チカラをもつ
411,130,古びた石碑,だいじなもの,ひつようなとき つかおう,なぞのもじが かかれた石碑
288,131,ひかりゴケ,だいじなもの,ひつようなとき つかおう,光をはなつ ふしぎなコケ
249,132,七色のしずく,だいじなもの,ひつようなとき つかおう,七色にかがやく えきたい
120,133,コスタール王の親書,だいじなもの,ひつようなとき つかおう,コスタール王の かいた 手紙
236,134,とくべつ会員賞,だいじなもの,ひつようなとき つかおう,？？？
186,135,大地の鈴,だいじなもの,ひつようなとき つかおう,？？？
491,136,もえる水,だいじなもの,ひつようなとき つかおう,もえる水の はいったビン
139,137,しゃくねつのカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
33,138,王家のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
443,139,まなざしの宝石,だいじなもの,ひつようなとき つかおう,ふたつセットに なっている ほうせき
512,140,ルージュの宝石,だいじなもの,ひつようなとき つかおう,はん月の かたちをした ほうせき
286,141,ピアスの宝石,だいじなもの,ひつようなとき つかおう,ハートの かたちをした ほうせき
264,142,ハート形の宝石,だいじなもの,ひつようなとき つかおう,ハートの かたちをした ほうせき
287,143,ピアスの宝石,だいじなもの,ひつようなとき つかおう,ハートの かたちをした ほうせき
254,144,ノーズの宝石,だいじなもの,ひつようなとき つかおう,さんかくの かたちをした ほうせき
293,145,封印のほこらのカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
172,146,聖風の光球,だいじなもの,ひつようなとき つかおう,風をよびおこす 光のたま
165,147,聖者のつるぎ,だいじなもの,ひつようなとき つかおう,つるぎを かたどったもの
166,148,聖者のよろい,だいじなもの,ひつようなとき つかおう,よろいを かたどったもの
163,149,聖者のかぶと,だいじなもの,ひつようなとき つかおう,かぶとを かたどったもの
164,150,聖者のたて,だいじなもの,ひつようなとき つかおう,たてを かたどったもの
462,151,まもののエサ,だいじなもの,ひつようなとき つかおう,もってるだけで こうかが ありそうだ
423,152,ほねつきにく,だいじなもの,ひつようなとき つかおう,つかうと なくなるが ききめバッチリ
208,153,超しもふり肉,だいじなもの,ひつようなとき つかおう,つかうと なくなるが ききめばつぐん
207,154,チビィのかたみ,だいじなもの,ひつようなとき つかおう,たたかいのとき どうぐとして つかうと……
502,155,ゆうしゃの心,だいじなもの,ひつようなとき つかおう,ゆうしゃの きもちになれる さとりのオーラ
141,156,女王のくびかざり,だいじなもの,ひつようなとき つかおう,
142,157,女王のてがみ,だいじなもの,ひつようなとき つかおう,
494,158,モンスターずかん,だいじなもの,ひつようなとき つかおう,モンスターが のっている ずかん
490,159,メルビンとはなせる,だいじなもの,ひつようなとき つかおう,
452,160,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
453,161,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
454,162,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
455,163,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
456,164,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
457,165,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
458,166,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
459,167,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
460,168,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
461,169,まものせいそく図,だいじなもの,ひつようなとき つかおう,まものの すみかについて かかれたもの
132,170,さんぞくのカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
514,171,牢屋のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
97,172,きれいに光る聖水,だいじなもの,ひつようなとき つかおう,
147,173,しんくの星,だいじなもの,ひつようなとき つかおう,
176,174,せきばんのかけら,だいじなもの,ひつようなとき つかおう,
88,175,きねんひん,だいじなもの,ひつようなとき つかおう,
54,176,カギ,だいじなもの,ひつようなとき つかおう,
123,177,古代のカギ,だいじなもの,ひつようなとき つかおう,もっていれば カギのあう トビラがひらく
315,178,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
316,179,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
317,180,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
318,181,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
319,182,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
320,183,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
321,184,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
322,185,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
323,186,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
324,187,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
325,188,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
326,189,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
327,190,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
328,191,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
329,192,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
330,193,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
331,194,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
332,195,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
333,196,ふしぎな石版赤,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
346,197,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
347,198,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
348,199,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
349,200,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
350,201,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
351,202,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
352,203,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
353,204,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
354,205,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
355,206,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
356,207,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
357,208,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
358,209,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
359,210,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
360,211,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
361,212,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
362,213,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
363,214,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
364,215,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
365,216,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
366,217,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
367,218,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
368,219,ふしぎな石版黄,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
377,220,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
378,221,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
379,222,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
380,223,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
381,224,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
382,225,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
383,226,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
384,227,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
385,228,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
386,229,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
387,230,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
388,231,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
389,232,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
390,233,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
391,234,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
392,235,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
393,236,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
394,237,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
395,238,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
396,239,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
397,240,ふしぎな石版緑,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
299,241,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
300,242,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
301,243,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
302,244,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
303,245,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
304,246,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
305,247,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
306,248,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
307,249,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
308,250,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
309,251,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
310,252,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
311,253,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
312,254,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
313,255,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
314,256,ふしぎな石版青,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
334,257,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
335,258,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
336,259,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
337,260,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
338,261,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
339,262,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
340,263,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
341,264,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
342,265,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
343,266,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
344,267,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
345,268,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
369,269,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
370,270,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
371,271,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
372,272,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
373,273,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
374,274,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
375,275,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
376,276,ふしぎな石版？,だいじなもの,ひつようなとき つかおう,ちずのような もようのある いしのかけらだ
126,277,こわれた石版,だいじなもの,ひつようなとき つかおう,ヒビだらけの いしのかけらだ 元にもどせば…
475,278,ミミックのいし,だいじなもの,ひつようなとき つかおう,
177,279,ぜんめつの石,だいじなもの,ひつようなとき つかおう,
291,280,ひのきのぼう,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
189,281,竹のやり,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
127,282,こんぼう,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
414,283,ブロンズナイフ,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
229,284,どうのつるぎ,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
103,285,くさりがま,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
77,286,皮のムチ,ぶき,こうげきりょく,てきグループに こうげきできる
11,287,石のオノ,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
230,288,とがったホネ,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
233,289,どくがのナイフ,ぶき,こうげきりょく,ときどき ねらったてきを マヒさせる
270,290,はがねのつるぎ,ぶき,こうげきりょく,とくしゅ こうかは ないようだ
