m_ID:int,m_name,m_stat,m_comment
34,ベラ,ろうば,ハデに見送られて　ふるさとを　出てきた手前　今さら　もどることも　ままならん……。
35,ラザース,ろうば,もう　スロットマシンなんぞ　やる気も　なくなっちまったよ！
36,アキム,しょうにん,おかげさまで　何とか　こうして　くらしてますよ。
37,ウルゼイ,しょうにん,さあさあ　いらっしゃい！　ウルゼイ商店は　こちらだよ！
38,エラン,しょうにん,出店の下じゅんびのせいで　大忙しです。
39,ゼンジー,しょうにん,この町は　なかなか　いい所ですね！
40,ノルザス,しょうにん,私のキノコは　さっぱり　売れないんで　今　新しい商売を　考えてるんですよ。
41,ミスス,しょうにん,だいぶ　この町にも　なれましたよ。
42,タシスン,しょうにん,今となっては　この町にきて　よかったなー　なんて　思ってるんですよ。
43,ハンニバル,しょうにん,××××に　いた時とは　ぼく　見ちがえたろ？　ふふんっ。
44,バンガー,しょうにん,お金が　たーくさん　たーくさん　もうかってますよ。
45,ヅナロ,しょうにん,いやあ　なかなか　いい店と　いうものは　見つかりませんなあ。
46,ハルッセ,しょうにん,あ～　いらっしゃいませ！
47,トンヌラ,たびのしょうにん,商売のほうも　順調です。　いやー　よかった　よかった。
48,キキモミ,たびのしょうにん,へっへっへ。　おかげさんで　平和に暮らしてます。
49,ハンス,たびのしょうにん,前は　××××を　きょてんに　商売をしておりました。
50,ボサンク,たびのしょうにん,へっへっへ。　あの時は　お世話になりましたね。
51,リーバン,たびのしょうにん,いかがすかー　いかがっすかー。
52,ミラッカ,たびのしょうにん,××××から　ここまで来るのにも　ずいぶん　迷っちゃって。
53,ルーベル,たびのしょうにん,この町に　おちついてからは　身体の調子も　いいんです。
54,ラヘド,たびのしょうにん,がんばって　この町　いちばんの商人になるんだ。
55,ウルッチャ,たびのしょうにん,ここに　着くまでに　30回も　ころんじゃいましたよ。
56,バイアル,たびのしょうにん,商売は　すっかり順調！　毎日　売れ売れの　ノリノリですよ！
57,シノー,たびのしょうにん,世界中を　まわった　シノーの　どっきりショップは　こちら！
58,ポケンテ,たびのしょうにん,おっと　オレは　ポケンテって　旅の商人なのさ。
59,オマリー,たびのしょうにん,この町で　とても　幸せに暮らしています。
60,フジッサ,しんぷ,今では　神父として　がんばってます！
61,スースラ,しんぷ,旅にあろうと　定住しようと　神につかえる心は　変わりありません。
62,フランド,しんぷ,偉大なる神父　フランドです。　ふっふっふ。
63,ルター,しんぷ,思ったよりも　はやく　町に　信仰が根づきそうです。
64,ファーター,しんぷ,おかげさまで　毎日　充実してますよ。　ふっふっふ。
65,ヨナ,しんぷ,どろぼうを　やめて　今じゃ　ホンモノの神父さまさ！
66,ヤング,しんぷ,ヤングな　ヤング神父には　ピチピチの町が　ピッタリだ！
67,ファンブ,しんぷ,私は　またも　道ならぬ恋を　おお　神よ！
68,マメット,しんぷ,まだ　神は　みつかりませんが　ここにいれば　いつか　必ず　出会えるような　気がします！！
69,ポックリ,しんぷ,思ったより　この町の人々の　ザンゲは　おもしろいです！
70,シン,しんぷ,おかげさまで　充実した日々を　送っています。
71,セーラ,シスター,こんな　いい町を　紹介していただいて　みなさんには　感謝していますわ。
72,アンナ,シスター,今では　神の信仰を　ひろめる　お手伝いを　しているのです。
73,エラッタ,シスター,あなたに　神の祝福がありますよう。
74,マリアン,シスター,これで　毎日　おちついて　お祈りができますわ。
75,メリム,シスター,私は　××××より　神の教えを　広めに　やってきた　シスターメリム……。
76,ガレット,シスター,神のしもべとして　この町で　毎日を　平和に暮らしていますわ。
77,レルナ,シスター,この町の人々の心から　不安を　取り払うのが　私の　なによりの　生きがいなのです。
78,ロイス,シスター,いつかは　立派なシスターになって　ママの所へ　帰るつもりよ。
79,パース,シスター,男の方と恋に落ち　教会をすてた　シスターです。
80,マイヤ,シスター,この町で　立派なシスターになれそうです！
81,シャナ,シスター,夜には　必死に　身体をきたえています。
82,アニー,シスター,やはり　神はいるのです。
83,セヴ,シスター,この町にくる途中に　魔物におそわれ　すっかり　考えが　変わりました。
84,ミサミサ,シスター,今のところは　うまく　やってるしね！
85,ミルト,シスター,これからも　あなたがたの　旅のご無事を　お祈りします。
86,ガルド,がくしゃ,この町は　なかなか　過ごしやすいな。
87,ナサカ,がくしゃ,ちょっと変わった　学者センセイだ。
88,ファーズ,がくしゃ,いやあ　この町は　じつに　きょうみ深いですね。
89,ロム,がくしゃ,ここを××××みたいな　文化的な町にするために　わたくし　ロムはがんばっています。
90,キャリー,バニー,エロオヤジたちの　熱い視線を　感じるの　うふん。
91,サファイア,バニー,世界一のバニーへの道は　まだまだ　遠く険しいわね。
92,ミネット,バニー,おぼえててくれた？　うふっ。
93,リリカ,バニー,ここには　あたしのこと　うるさく言う人も　いないし　いがいと　快適よ。
94,チャーミー,バニー,うふふっ　あなたって　いつ見ても　ス・テ・キ！
95,ルシール,バニー,みんな　あたしのこと　バニーさんって呼ぶの！　プンプン！
96,マロン,バニー,お金って　なかなか　たまらないものね～。
97,エンゾ,バーテン,いや　第２の　人生ってのは　悪くないもんですな。
98,ドランキー,バーテン,やっぱ　はたらくより　飲むほうが　好きじゃ　店なんか　持てやしませんかね。
99,ハリソン,バーテン,今や　もう　しんまいを　使っている　ほどなんですよ。
100,リックス,バーテン,どーんと大きなプレイスポットを　作ってみたいものですな！
101,エレナ,おどりこ,みなさーん！　今夜の　エレナのステージを　ぜひ　見にきてちょうだいね！
102,スザナ,おどりこ,夜が　まちどおしいな。
103,レイビー,おどりこ,ダンス！　ダダンス！！
104,ランダ,おどりこ,あとは　いい男を　見つけて　早く　幸せになりたいわね。
105,ナターシャ,おどりこ,もうしばらく　いてあげても　いいって感じかしら！
106,リリー,おどりこ,この町でなら　なんだか　がんばれるような　気がするの。
107,ギャック,あらくれ,いいところ　教えてもらって　カンシャしてるぜー。
108,ゴメス,あらくれ,ここでもオレの荒くれ伝説を　ハデに　とどろかせてやるぜ！
109,ヤムリ,あらくれ,だれか　おれっちと　新しい出会いを　してくれー！
110,リクシー,あらくれ,これで　オレも　いっぱしの　大工に　なれそうだぜ！
111,ゴンザ,あらくれ,ようするに　オレが　小心者ってことか……。
112,ライズ,あらくれ,もう　かっこよさも　わりと　世界一っぽくなった　気がするんだが　どうだ？
113,カバーサ,あらくれ,毎日　踊りくるってるぜ！
114,グレン,あらくれ,オレは　花ヨメさんになりてえ。
115,ダバ,あらくれ,必死になって　トイレを　ガマンしていたときに　だれかに　この町を　教えてもらってな！
116,ホイサ,あらくれ,いつかは　おふくろの元に　帰ろうって　思ってるんだ！
117,ゲッダ,あらくれ,どうやら　骨のある子分は　見つからねえよ。
118,イオウ,せんいん,ここに根をおろすことに　決めたんですよ。　町の人気者としてね。
119,ジムス,せんいん,オレっちは　今は　この町で　楽しく　くらしてるよう！
120,ソロ,せんいん,なんたって　おいらの　過去を　知る物が　いねえからな。
121,タニック,せんいん,いまじゃ　ごらんの通り　丘に上がった　カッパさんさ。
122,ブリゲー,せんいん,いろいろ　あって　船をおりたんだけど　ここで　新しい生活を　始めたんだ。
123,カミンコ,しゅうじん,この町は　オレにとっちゃ天国さ。　おっと　わけは　聞くなよ。
124,クレオ,しゅうじん,この町には　私が無実の罪で　追われていることを　知る人はいません。
125,バルバス,しゅうじん,とうとう　ここまで追っ手が！　……ん　なんだ　あんたらか。
126,ブレッド,しゅうじん,この町でなら　安心して　かくれてられるぜ。
127,ロブ,しゅうじん,ここではな　とっつかまんないよう　気をつけて　悪さをしなきゃな。
128,ブロアム,せんし,エンゴウの火の山から　用心棒として　ここに来たんだ。
129,ガド,せんし,しかし　まだ恋人ができない……。
130,コルネリ,せんし,でも　よかった。　ここが　魔界じゃなくて……。
131,ザイン,せんし,オレは　××××から　やって来た　ザインって者だ。　この町で　やとわれている。
132,ロンメル,せんし,なにしろ　オヤジがいない！　まさに天国です。
133,アッシュ,へいし,ああー　タイホしたいー。
134,ガービン,へいし,おっと　オレは　ガービン。　この町を守る　兵士さ！
135,ルードン,へいし,この町の　みんなとは　ウマが合うようだ。
136,ダミアン,へいし,こうして　町の平和を　守るのって　やりがいのある仕事ですねえ。
137,バーキン,へいし,女だからって　甘く見ないほうが　いいわよっ。
138,レガード,へいし,今では　この町で　立派に仕事をしてますよ！
139,オスカー,けんし,なんだよ　おぼえていないのか？　つめたいヤツだなあ。
140,ニード,けんし,わが名は　剣士ニード。　××××より　出でて　この町を　守る者なり。
141,ナック,けんし,今は　ここで　平和に　くらしてるよ。
142,ビーン,のうふ,今は　この町で　いっしょけんめい　はたらいているだよ。
143,ガリウス,のうふ,世界中を　畑だらけにするという　私の夢が　かなえられるのは　まだ　先に　なりそうだな。
144,ジャック,のうふ,おかげで　野菜が　すくすく育つっぺ。
145,フラドン,のうふ,はやく　畑を　たがやしたいべ～。
146,ウベラ,のうふ,住めるとこが　もらえて　ほんに　よかったべー。
147,バリュウ,のうふ,弟は　まだ　見つからないが　オレは　あきらめない。
148,ムゲマ,のうふ,オイラ～は　ムゲマ～　畑　たがやし　３０年～と。
149,ズラニー,のうふ,必殺！　ズラニー　クワ落とし！　うおりゃー！！
150,ロッペン,のうふ,やれやれ　しばらくは　ここで　はたらけそうだな。
151,ゴン,のうふ,オラは　農夫のゴンだべ。
152,ベジル,のうふ,わしゃあ　畑たがやし　２０年の　ベテラン農夫　ベジルだがや。
153,イマノツ,のうふ,オレは　名うての戦士イマノツ。　××××から　さっそうと　やって来たぜ！
154,ザットン,のうふ,ぼくは　××××から　仕事を探して　やって来た　ザットンと　言います。
155,ヌテラ,のうふ,新しい生きがいを　あたえてくれた　神に　このヌテラ　カンシャする！
156,バレル,のうふ,いつか　究極の果物を　作りあげて　みせますよ。
157,バウウ,のうふ,ここなら　オラの野菜ちゃんも　よろこんでくれるだ！
158,ワヤン,のうふ,今は　あんたのおかげで　こうして　幸せに　暮らしてるだ。
159,バギー,ホビットおじさん,近くに　いい木が　いっぱい　あったっぺよ！
160,ドンデ,ホビットおじさん,切った分だけ　新しく　木を植えようと思うだよ。
161,ドルコン,ホビットおじさん,いやあ　あんたたち　こんな　いい町を　よく　教えてくれたなあ。
162,ピスボ,ホビットおじさん,おお！　ビューティフルライフ！
163,サブッチャ,ホビットおじさん,オラのオノさばきは　今日も　さえわたってるべ！
164,マック,ホビットおじさん,この町は　いいなあ。　このまま　ずっと　暮らすつもりさ。
165,ジェイド,ホビットおじさん,でも　住めば都っていうし　このまま　暮らしていこうと　思っています。
166,ヤマト,しろいねこ,にゃっ！　みゃーん。　ごろごろごろ……。
167,キリシマ,ねこ,にゃん！　にゃ～ん。
168,クレランス,くろいねこ,フニャ～ン。
169,タンシオ,うし,モー？　ブオモーン？
170,ミルキー,しろいうし,ンモ！　ンモ！　ンモ！　モモォ～ン。
171,トーギュ,うし,モォー　ウモン　モン。　モー。
172,ブヒー,ブタ,ブッヒブ　ブブブブ　ピキー？　ブブブブー　ヒブッ。　プッヒョ～！！
173,ブタック,ブタ,プー　プー　プ　プキャッ！
174,ピグヤン,ブタ,プキプキッ　プブー。
175,ガブリエル,うま,ブルルルルルル……。
176,ヒノエン,うま,ヒーッヒッヒッヒ！　ヒヒッ　ヒヒッ　ヒッヒ～ン！
177,ナオミ,うま,ヒン！
178,神さま,かみさま,ところで　どうじゃ？　このわしと　戦ってみるかのう？
