m_kind:int,m_aiueo:int,m_name,m_type,m_message1,m_message2
144,129,まかいのかぶと,かぶと,しゅびりょく,ラリホーやマヒザキにかかりにくい
145,126,ほしふるうでわ,そうしょくひん,すばやさ,すばやさがなんと２ばい！！
146,125,ほしのかけら,そうしょくひん,うんのよさ,たたかいのときどうぐとしてもつかえる
147,151,メガンテのうでわ,そうしょくひん,しゅびりょく,そうびしてるともしものときこうかがある
148,149,メガザルのうでわ,そうしょくひん,しゅびりょく,そうびしてるともしものときこうかがある
149,31,きんのブレスレット,そうしょくひん,しゅびりょく,そうびしてるとしゅびりょくアップ
150,2,あみタイツ,そうしょくひん,しゅびりょく,とてもセクシーなストッキング
151,142,まもりのルビー,そうしょくひん,しゅびりょく,そうびしてるとしゅびりょくアップ
152,7,いのりのゆびわ,そうしょくひん,しゅびりょく,つかうとじぶんのＭＰをすこしかいふく
153,150,めがみのゆびわ,そうしょくひん,かしこさ,あるくごとにすこしずつＭＰがかいふく
154,41,ゴスペルリング,そうしょくひん,うんのよさ,そうびしてるとモンスターがおそってこない
155,45,しあわせのくつ,そうしょくひん,うんのよさ,あるくごとにけいけんちがすこしあがる
156,6,命のゆびわ,そうしょくひん,しゅびりょく,あるくごとにすこしずつＨＰがかいふく
157,73,ちからのゆびわ,そうしょくひん,ちから,そうびしてるとちからがアップ
158,8,うさぎのしっぽ,そうしょくひん,うんのよさ,そうびしてるとうんのよさがあがる？
159,47,しっぷうのバンダナ,そうしょくひん,すばやさ,そうびしてるとすばやさがアップ
160,39,ごうけつのうでわ,そうしょくひん,ちから,そうびしてるとちからがアップ
