ID,モンスター名,HP,MP,すばやさ,こうげきりょく,しゅびりょく,けいけんち,ゴールド,アイテムかくりつ,アイテム,LV,メタルけい,ドラゴンけい,ゾンビけい,そらけい,スライムけい,ふくすうかい,しぜんかいふく,しゅうちゅうこうげき,みかわし,しょきじょうたい,しょきかくりつ,なかまかくりつ,メラ,ギラ,イオ,ヒャド,バギ,デイン,マヌーサ,ラリホー,ザキ,ニフラム,マホトラ,マホトーン,メダパニ,ルカニ,どく,やすみ,おどりふうじ,ほのお,ふぶき,たたき,まひ,ぐんたい
16,ホイミスライム,30,12,16,27,23,15,8,7,ふしぎなきのみ,10,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,2,1,2,2,2,0,0,0,0,3,0,0,0,0,0
17,そらの狩人,40,0,18,32,25,13,9,4,ひのきのぼう,6,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,0
18,とさかへび,28,3,24,37,20,17,7,4,皮のぼうし,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
19,マドハンド,35,0,17,40,13,11,5,6,せいすい,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,1,2,3,3,0,0,0,0,3,0,0,0,0,0
20,どくあおむし,35,0,16,35,14,17,6,2,どくけし草,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0
21,スライムベス,24,0,25,33,15,10,4,4,やくそう,8,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0
22,メランザーナ,40,0,21,28,25,19,8,6,布の服,8,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0
23,テールモンキー,46,0,23,36,25,18,9,5,うまのふん,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,3,0,0,0,0,0
24,フェアリーラット,33,0,25,35,23,17,8,4,やくそう,5,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,2,3,3,0,0,0,0,3,0,0,0,0,0
25,ベビーゴイル,45,7,23,36,26,19,7,6,ふしぎなきのみ,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0
26,くさった死体,65,0,13,37,18,18,5,4,どくけし草,6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
27,ダークドワーフ,42,5,27,45,32,20,8,6,やくそう,6,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,1,3,0,0,0,0,0
28,フーガ,41,0,39,44,26,20,7,6,すばやさのたね,6,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,1,2,3,3,0,0,0,1,3,0,0,0,0,0
29,ドラゴスライム,45,0,33,45,45,22,9,5,布の服,7,0,1,0,0,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,1,1,3,3,1,0,0,0,3,1,0,0,0,0
30,どろにんぎょう,50,0,23,40,19,22,4,5,布の服,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0
31,ジャガーメイジ,43,15,41,38,51,23,12,6,まほうのせいすい,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,3,0,0,0,0,0
32,なし,30000,100,10,10,10,10,10,0,なし,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,首狩りぞく,48,0,33,54,40,21,10,5,こんぼう,7,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,1,2,3,3,1,0,0,1,3,0,0,0,0,0
34,ブチュチュンパ,52,0,27,40,30,22,8,4,やくそう,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,1,3,3,0,0,0,0,3,0,0,0,0,0
35,ゾンビーアイ,45,0,18,45,18,20,6,5,うつくし草,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,3,3,0,0,0,1,3,0,0,0,0,0
36,スライムナイト,70,10,38,53,55,25,15,4,どうのつるぎ,8,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,2,2,1,1,0,0,0,1,3,0,0,0,0,0
37,さそりアーマー,49,0,19,50,70,24,9,6,まもりのたね,9,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,2,2,3,3,3,1,0,0,0,3,0,0,0,0,0
38,ひとくいばこ,110,30,40,65,50,65,100,4,ちからのたね,9,0,0,0,0,0,0,0,0,2,0,0,6,1,1,1,1,1,0,3,3,3,3,3,2,3,0,0,3,3,0,0,0,0,0
39,バブリン,61,15,28,52,30,23,10,4,布の服,8,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,3,1,1,1,2,0,0,0,3,0,0,0,0,0
40,リビングハンマー,55,0,45,60,65,25,16,5,とがったホネ,9,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,2,2,3,3,3,0,0,0,2,3,0,0,0,1,0
41,ブタあくま,66,7,35,55,49,24,13,4,皮のよろい,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,2,1,0,3,0,0,0,3,0,0,0,0,0
42,さそりカマキリ,49,0,40,59,50,23,11,5,ブロンズナイフ,9,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,3,3,3,1,0,0,0,3,0,0,0,0,0
43,ストローマウス,52,0,37,50,48,22,9,4,皮のぼうし,8,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,1,2,3,3,3,0,0,0,1,3,0,0,0,0,0
44,突げきホーン,70,0,35,65,59,27,12,4,石のキバ,9,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,2,2,3,3,3,1,0,0,0,3,0,0,0,0,0
45,キメラ,61,0,40,73,69,29,18,4,キメラのつばさ,9,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,1,2,3,3,1,0,0,1,3,2,0,0,0,0
46,ポイズンバード,50,4,55,50,48,26,8,3,どくけし草,8,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,3,0,0,0,0,0
47,エイプバット,62,0,42,63,52,28,14,4,うまのふん,8,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,2,3,3,0,0,0,1,3,0,0,0,0,0
48,スモークポット,68,5,63,59,78,30,20,6,ふしぎなきのみ,10,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0
49,アサシンクロー,69,0,60,70,58,31,15,4,アサシンダガー,10,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,2,3,3,3,0,0,0,0,3,0,0,0,0,0
50,ふゆうじゅ,85,6,43,58,55,30,18,7,命のきのみ,9,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0
51,ハングドエイプ,78,0,78,62,67,28,20,4,こんぼう,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,2,3,3,0,0,0,1,3,0,0,0,0,0
52,なし,30000,100,10,10,10,10,10,0,なし,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,笑いぶくろ,70,10,65,58,75,50,50,4,布の服,11,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,3,3,1,1,1,1,0,0,2,0,0,0,0,1,2
54,ワータイガー,84,20,65,75,65,32,26,7,うさぎのしっぽ,10,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,2,2,0,0,2,0,0,1,3,0,0,0,0,1
55,なし,30000,100,10,10,10,10,10,0,なし,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ダンスニードル,67,0,75,55,49,30,18,6,どくばり,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,3,3,3,3,0,0,0,2,0,0,0,0,2,0
57,サンダーラット,73,0,88,61,50,31,20,4,とんがりぼうし,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,2,1,3,3,3,1,0,0,0,3,0,0,0,0,1
58,メタルスライム,4,20,255,55,512,1000,65,6,まもりのたね,12,1,0,0,0,1,0,0,0,2,0,0,3,3,3,3,3,3,3,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
59,あくまのつぼ,100,35,88,63,90,120,180,5,おなべのフタ,15,0,0,1,0,0,0,0,1,2,0,0,4,0,0,0,1,3,0,0,2,3,1,3,3,2,0,0,2,3,0,0,0,0,3
60,木馬のきし,92,0,59,69,59,33,26,5,ステテコパンツ,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,3,3,3,2,0,0,2,3,0,0,0,3,0
61,スマイルロック,100,0,47,66,90,34,18,6,命の石,12,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,2,2,2,3,3,3,0,0,0,1,3,0,0,0,1,0
62,いどまねき,120,0,65,75,70,150,100,6,ちからのたね,20,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,3,3,3,3,3,3,0,0,2,3,0,0,0,3,2
63,タマゴロン,150,0,78,60,90,30,28,5,せいすい,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,3,3,3,2,0,0,1,3,0,0,0,1,1
64,キラーマンティス,64,0,85,74,70,33,17,4,まんげつ草,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,2,3,3,3,1,0,0,0,3,0,0,0,1,0
65,ドロヌーバ,130,20,40,68,40,35,15,4,うまのふん,13,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
66,きとうし,85,30,68,60,64,40,12,5,まほうのせいすい,13,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,3,3,3,0,0,1,0,0,0,3,0,0,0,2,0
67,ストーンマン,115,0,56,85,84,45,35,5,命の石,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,3,3,3,3,2,0,0,1,3,0,0,0,2,0
68,アイアンタートル,85,0,58,72,120,36,15,6,まもりのたね,14,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,3,2,2,3,3,2,0,0,1,3,0,0,0,2,1
69,ダンビラムーチョ,99,7,65,80,75,42,22,4,どうのつるぎ,14,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,2,3,2,1,0,2,0,0,1,3,0,0,0,1,1
70,ダッシュラン,105,0,80,78,61,38,15,6,すばやさのたね,15,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,1,3,2,3,3,0,0,0,1,3,0,0,0,0,1
71,なし,30000,100,10,10,10,10,10,0,なし,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,スカイフロッグ,72,0,58,69,52,35,14,4,たびびとの服,15,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,3,3,3,1,0,0,1,3,0,0,0,0,0
73,エンタシスマン,85,10,65,70,65,41,31,4,皮のよろい,15,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,1,3,3,1,1,0,2,0,0,2,0,0,0,0,3,1
74,あばれ足鳥,77,0,58,75,46,40,23,6,すばやさのたね,15,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,2,3,3,3,1,0,0,1,0,0,0,0,1,0
75,あまのじゃく,80,15,69,72,59,42,18,6,かしこさのたね,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,1,1,0,3,0,0,3,3,0,0,0,3,0
76,しにがみ兵,102,0,50,81,40,43,11,5,くさりかたびら,16,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,3,0,0,0,3,3,1,3,3,3,0,0,3,3,0,3,0,3,0
77,ヘルジャンパー,89,7,80,75,70,40,25,4,やくそう,16,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,1,2,3,1,0,0,0,0,1,3,0,0,0,1,0
78,ピンクオーク,85,6,61,70,63,45,31,6,ピンクパール,15,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,2,2,3,2,0,0,0,0,1,0,0,0,0,2,0
79,よろい竜,90,0,58,69,80,46,20,6,ブーメラン,17,0,1,0,0,0,0,0,0,0,0,0,4,2,2,2,2,1,0,1,2,3,3,3,3,1,0,0,1,0,0,0,0,2,1
80,あくまの書,64,6,61,80,55,58,40,6,命のきのみ,18,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,3,3,3,2,0,3,3,0,0,3,3,0,2,0,3,2
81,なし,30000,100,10,10,10,10,10,0,なし,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,キラーストーカー,80,0,48,75,62,42,10,5,鉄のオノ,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,2,2,3,3,3,2,0,0,1,0,0,0,0,1,0
83,グリーンドラゴン,160,0,67,89,70,50,32,4,鉄のたて,18,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,3,3,3,3,3,3,1,0,0,2,3,0,3,0,2,0
84,シャドーナイト,62,0,88,75,98,47,22,5,どうのつるぎ,18,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,1,3,3,1,3,3,2,2,0,1,3,0,3,0,2,2
85,プラズママウス,66,0,69,70,65,45,21,4,とんがりぼうし,17,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,1,1,2,3,3,3,0,0,0,1,3,0,0,0,2,1
86,ベホマスライム,68,50,47,60,50,40,23,4,やくそう,17,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,2,0,2,2,1,0,0,0,3,0,0,0,1,0
87,なし,30000,100,10,10,10,10,10,0,なし,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,まさかりぞく,76,0,71,80,67,43,25,4,鉄のオノ,18,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,1,3,2,3,3,3,1,1,0,1,0,0,0,0,1,0
89,ライノキング,76,0,61,85,80,49,42,4,石のキバ,18,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,0,1,2,3,3,3,3,1,0,0,2,3,0,0,0,1,0
90,なし,30000,100,10,10,10,10,10,0,なし,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,とかげどり,90,0,72,79,58,47,23,5,皮のぼうし,18,0,0,0,0,0,0,0,0,2,0,0,4,1,1,1,0,0,0,1,2,2,3,3,3,1,1,0,1,0,0,0,0,1,0
92,ベビーデビル,95,15,80,82,69,48,34,4,おなべのフタ,19,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,2,2,3,1,2,1,1,0,0,2,3,0,0,0,1,0
93,キングスライム,140,35,65,95,82,120,77,6,命のきのみ,20,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,1,2,0,2,1,3,3,2,1,3,2,1,1,3,1,1,0,1,2
94,りゅうき兵,77,0,78,92,72,50,32,4,鉄のやり,19,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,3,2,1,3,3,1,2,0,1,3,0,0,0,1,0
95,なし,265,35,85,135,78,200,115,0,なし,19,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,1,0,0,2,2,3,3,2,2,2,1,3,2,3,2,1,1,2,2
96,キラースター,110,8,90,91,115,51,47,5,ぎんのむねあて,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,3,2,2,1,1,1,1,0,1,3,0,0,0,1,1
97,やみのとうぞく,130,0,65,79,78,40,18,4,布の服,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,3,3,2,0,0,1,3,0,0,0,2,0
98,レッドスコーピオン,98,0,80,85,95,53,23,5,鉄かぶと,20,0,0,0,0,0,0,0,0,1,0,0,4,2,2,2,0,2,0,2,2,2,3,3,3,1,0,1,1,3,0,0,0,1,0
99,どくどくゾンビ,120,0,45,80,48,45,10,3,どくけし草,20,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,3,2,1,3,3,0,0,3,2,3,0,2,0,2,0
100,メタルライダー,104,12,110,87,135,230,40,3,どうのつるぎ,21,0,0,0,0,1,0,0,0,1,0,0,5,2,2,2,2,2,0,2,3,3,3,1,1,1,2,3,2,3,2,2,2,2,2
101,ネイルビースト,112,0,77,92,70,57,18,4,鉄のツメ,21,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,0,0,2,3,3,3,3,3,2,0,2,3,3,0,0,1,3,0
102,フォレストガード,109,0,65,84,72,55,32,5,せいどうのよろい,22,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,3,0,0,0,1,0
103,なし,30000,100,10,10,10,10,10,0,なし,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,レッサーデーモン,110,0,59,86,65,59,35,5,ステテコパンツ,22,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,2,1,0,3,3,1,2,2,1,3,0,0,0,1,0
105,ワンダーエッグ,180,20,83,80,100,62,28,6,ふしぎなきのみ,23,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,1,2,3,3,1,0,3,0,3,3,3,1,1,2,2,3
106,ポンコツ兵,135,0,69,83,69,60,25,5,鉄のオノ,22,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,3,3,3,3,3,3,0,1,3,3,0,0,1,3,0
107,スライムブレス,150,0,75,79,78,64,50,5,スライムの服,23,0,0,0,1,1,0,0,0,1,0,0,3,1,1,1,0,0,0,2,2,3,2,3,3,1,0,3,2,3,2,0,1,1,1
108,メイジキメラ,95,15,77,87,77,65,51,4,キメラのつばさ,23,0,0,0,1,0,0,0,0,1,0,0,5,2,2,2,0,0,0,2,2,2,3,1,1,3,0,2,2,3,0,0,0,2,1
109,ドンガンバ,97,0,63,90,62,61,48,5,鉄のよろい,22,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,2,2,3,3,1,0,1,2,3,0,0,0,1,0
110,イノブタマン,200,0,60,88,71,58,39,3,こんぼう,22,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,2,3,3,3,2,0,3,2,3,0,0,0,1,0
111,スノーバット,120,8,70,92,88,66,31,5,皮のドレス,23,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,1,0,1,1,2,3,3,1,0,0,2,3,3,0,3,0,2,0
112,デビルアーマー,110,0,67,100,97,68,52,5,鉄のよろい,23,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,0,1,0,2,2,3,3,3,3,3,0,1,3,3,1,1,2,3,2
113,マジックリップス,108,0,89,85,65,60,20,6,うつくし草,22,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,1,2,3,3,1,0,3,2,3,0,0,1,1,1
114,スモールテッド,122,9,71,90,7,70,48,5,ターバン,23,0,0,0,0,0,0,0,0,1,0,0,5,2,2,2,2,2,0,2,3,3,1,2,1,1,0,2,2,3,0,0,1,2,0
115,バーサーカー,140,0,74,105,72,72,32,4,くさりがま,24,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,1,1,2,3,3,3,0,0,1,3,3,0,0,0,1,0
116,ベンガルクーン,170,20,89,95,88,78,28,4,毛皮のマント,24,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,2,0,0,2,2,3,2,2,1,2,0,2,2,3,0,0,1,1,0
117,ブガッティ,190,0,65,110,70,75,61,6,カメのこうら,24,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0,2,1,2,1,3,3,0,0,2,2,3,0,0,1,1,0
118,なし,30000,100,10,10,10,10,10,0,なし,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,キングムーチョ,160,12,75,95,84,74,62,4,皮のこしまき,24,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,2,3,3,3,2,2,2,0,3,2,3,0,0,2,2,0
120,グロン,140,6,55,99,40,71,25,4,ヘアバンド,24,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,2,3,1,1,3,2,0,0,3,3,3,0,0,0,1,0
121,パペットマン,130,8,73,90,88,65,32,4,木のぼうし,24,0,0,0,0,0,0,0,0,2,0,0,4,1,1,1,1,1,1,1,2,2,1,0,3,3,0,1,3,0,0,0,0,1,0
122,いどまじん,210,20,61,120,75,250,67,5,きぞくの服,30,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,3,3,2,1,3,0,2,2,3,1,1,1,3,1
123,ウイングタイガー,185,12,82,110,68,80,40,5,皮のこしまき,25,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,2,0,0,3,1,2,3,2,2,0,0,1,2,3,0,0,0,1,0
124,オーガソルジャー,180,0,75,115,80,82,50,4,くさりがま,25,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0
125,チョッキンガー,140,0,65,105,115,81,45,6,おおばさみ,26,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,2,0,3,2,2,2,3,3,0,0,3,1,3,1,1,0,1,0
126,なし,30000,100,10,10,10,10,10,0,なし,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,プヨンターゲット,130,8,79,95,62,79,35,5,ぎんのむねあて,26,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,3,1,3,2,1,1,2,0,1,3,0,0,0,3,1,2
128,ブッチョマン,150,5,81,100,78,83,57,4,鉄のオノ,27,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,1,3,1,1,0,0,2,2,3,0,2,0,1,0
129,ウッディアイ,160,10,53,105,65,84,45,6,ふしぎなきのみ,27,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,2,3,1,3,2,1,2,0,3,0,2,2,3,0,0,0,2,0
130,ウルフデビル,140,8,95,117,85,86,60,5,アサシンダガー,27,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,2,3,3,3,1,1,0,1,0,3,0,0,0,3,0
